Components of AOCI 2020 2019 2018 Consolidated Statements of Income locationsCash flow hedges:,Components of AOCI 2020 2019 2018 Consolidated Statements of Income locationsCash flow hedges:,Components of AOCI 2020 2019 2018 Consolidated Statements of Income locationsCash flow hedges:,Components of AOCI 2020 2019 2018 Consolidated Statements of Income locationsCash flow hedges:,Components of AOCI 2020 2019 2018 Consolidated Statements of Income locationsCash flow hedges:,
Components of AOCI 2020 2019 2018 Consolidated Statements of Income locationsCash flow hedges:,Components of AOCI 2020 2019 2018 Consolidated Statements of Income locationsCash flow hedges:,Components of AOCI 2020 2019 2018 Consolidated Statements of Income locationsCash flow hedges:,Components of AOCI 2020 2019 2018 Consolidated Statements of Income locationsCash flow hedges:,Components of AOCI 2020 2019 2018 Consolidated Statements of Income locationsCash flow hedges:,Cash flow hedges:
Foreign currency contract gains (losses),$178,$101,$(21）Product sales,$(21）Product sales,
Cross-currency swap contract gains (losses),323,110,(241),"(241) Interest and other income, net",
,501,211,(262),(262） Income before income taxes,
,(110),(46),55,Provision for income taxes,
,$,$165,$ (207),,
Available-for-sale securities:,,,,,
Net realized gains (losses),$,33$,$ (365),"56$(365) Interest and other income, net",
,(7),(14),,3Provision for income taxes,
,$ 26S,42$,42$,(362) Net income,
