(a) (b) （c）Number of securitiesNumber of remaining availablesecurities to be for future issuanceissued upon under equityexercise of Weighted-average compensation plansoutstanding exercise price of (excluding securitiesoptions and outstanding reflected in columnPlan category rights options and rights (a)),(a) (b) （c）Number of securitiesNumber of remaining availablesecurities to be for future issuanceissued upon under equityexercise of Weighted-average compensation plansoutstanding exercise price of (excluding securitiesoptions and outstanding reflected in columnPlan category rights options and rights (a)),(a) (b) （c）Number of securitiesNumber of remaining availablesecurities to be for future issuanceissued upon under equityexercise of Weighted-average compensation plansoutstanding exercise price of (excluding securitiesoptions and outstanding reflected in columnPlan category rights options and rights (a)),(a) (b) （c）Number of securitiesNumber of remaining availablesecurities to be for future issuanceissued upon under equityexercise of Weighted-average compensation plansoutstanding exercise price of (excluding securitiesoptions and outstanding reflected in columnPlan category rights options and rights (a)),,,
(a) (b) （c）Number of securitiesNumber of remaining availablesecurities to be for future issuanceissued upon under equityexercise of Weighted-average compensation plansoutstanding exercise price of (excluding securitiesoptions and outstanding reflected in columnPlan category rights options and rights (a)),(a) (b) （c）Number of securitiesNumber of remaining availablesecurities to be for future issuanceissued upon under equityexercise of Weighted-average compensation plansoutstanding exercise price of (excluding securitiesoptions and outstanding reflected in columnPlan category rights options and rights (a)),(a) (b) （c）Number of securitiesNumber of remaining availablesecurities to be for future issuanceissued upon under equityexercise of Weighted-average compensation plansoutstanding exercise price of (excluding securitiesoptions and outstanding reflected in columnPlan category rights options and rights (a)),(a) (b) （c）Number of securitiesNumber of remaining availablesecurities to be for future issuanceissued upon under equityexercise of Weighted-average compensation plansoutstanding exercise price of (excluding securitiesoptions and outstanding reflected in columnPlan category rights options and rights (a)),Number of securitiesremaining available,Number of securitiesremaining available,
(a) (b) （c）Number of securitiesNumber of remaining availablesecurities to be for future issuanceissued upon under equityexercise of Weighted-average compensation plansoutstanding exercise price of (excluding securitiesoptions and outstanding reflected in columnPlan category rights options and rights (a)),(a) (b) （c）Number of securitiesNumber of remaining availablesecurities to be for future issuanceissued upon under equityexercise of Weighted-average compensation plansoutstanding exercise price of (excluding securitiesoptions and outstanding reflected in columnPlan category rights options and rights (a)),(a) (b) （c）Number of securitiesNumber of remaining availablesecurities to be for future issuanceissued upon under equityexercise of Weighted-average compensation plansoutstanding exercise price of (excluding securitiesoptions and outstanding reflected in columnPlan category rights options and rights (a)),(a) (b) （c）Number of securitiesNumber of remaining availablesecurities to be for future issuanceissued upon under equityexercise of Weighted-average compensation plansoutstanding exercise price of (excluding securitiesoptions and outstanding reflected in columnPlan category rights options and rights (a)),outstanding,,
(a) (b) （c）Number of securitiesNumber of remaining availablesecurities to be for future issuanceissued upon under equityexercise of Weighted-average compensation plansoutstanding exercise price of (excluding securitiesoptions and outstanding reflected in columnPlan category rights options and rights (a)),(a) (b) （c）Number of securitiesNumber of remaining availablesecurities to be for future issuanceissued upon under equityexercise of Weighted-average compensation plansoutstanding exercise price of (excluding securitiesoptions and outstanding reflected in columnPlan category rights options and rights (a)),(a) (b) （c）Number of securitiesNumber of remaining availablesecurities to be for future issuanceissued upon under equityexercise of Weighted-average compensation plansoutstanding exercise price of (excluding securitiesoptions and outstanding reflected in columnPlan category rights options and rights (a)),(a) (b) （c）Number of securitiesNumber of remaining availablesecurities to be for future issuanceissued upon under equityexercise of Weighted-average compensation plansoutstanding exercise price of (excluding securitiesoptions and outstanding reflected in columnPlan category rights options and rights (a)),options andrights,outstanding reflected in columnoptions and rights (a)),outstanding reflected in columnoptions and rights (a))
Equity compensation plans approved by Amgen security holders:,,,,,,
Amended and Restated 2009 Equity Incentive Plan(l),"9,890,702$",S179.92,"23,108,576",,,
Amended and Restated 1991 Equity Incentive Plan(2),"5,913",,,,,
"Amended and Restated Employee Stock Purchase Plan 4,393,614","Amended and Restated Employee Stock Purchase Plan 4,393,614","Amended and Restated Employee Stock Purchase Plan 4,393,614","Amended and Restated Employee Stock Purchase Plan 4,393,614",,,
Total approved plans,"9,896,615 179.92 27,502,190","9,896,615 179.92 27,502,190","9,896,615 179.92 27,502,190",,,
Equity compensation plan not approved by Amgen security holders:Amgen Profit Sharing Plan for Employees in Ireland(3),,,,,,
Equity compensation plan not approved by Amgen security holders:Amgen Profit Sharing Plan for Employees in Ireland(3),,"60,059","60,059",,,
Total unapproved plans,,,"60,059",,,
Total all plans,"9,896,615$",179.92,"27,562,249",,,
