,"Year ended December 31, 2020",Change,"Year ended December 31, 2019",Change,"Year ended December 31, 2018"
,"Year ended December 31, 2020",Change,"Year ended December 31, 2019",Change,"Year ended December 31, 2018"
Nplate@-U.S.,$ 485,1% $,480,10% $,438
Nplate@ -ROW,365,16 %,315,13 %,279
Vectibix? -U.S.,342,8%,316,10 %,288
Vectibix@ -ROW,469,10%,428,6%,403
MVASI? -U.S.,656,*,121,N/A,
MVASI- ROW,142,*,6,N/A,
Parsabiv@-U.S.,605,10 %,550,82%,302
Parsabiv@ -ROW,111,39 %,80,*,34
EPOGEN@- U.S.,598,(31)%,867,(14)%,"1,010"
KANJINTI@ -U.S.,475,*,118,N/A,
KANJINTI - -ROW,92,(15)%,108,*,44
BLINCYTO? -U.S.,231,31%,176,31%,134
BLINCYTO?- ROW Aimovig@- U.S.,148,9%,136,42 %,96
,378,24 % *,306,*,119
EVENITY? -U.S. EVENITY@- ROW,191,,42,N/A,
AMGEVITATM_ ROW,159,8% 54 %,147,N/A *,
Sensipar@ -U.S.,331,(63)%,215,,11
Sensipar@/Mimpara@- ROW,92,(34)%,252 299,(82)%,"1,436 338"
NEUPOGEN@_U.S.,196 144,(19)%,178,(12)% (20)%,223
NEUPOGEN®- ROW,81,(6)%,86,(39)%,142
Other-U.S.,109,4%,105,24 %,85
Other- ROW,174,(16)%,207,9%,190
Total other product sales,$ 6.574,19% S,5.538,(1)% S,"5,572"
Total U.S.- other products,"$ 4,306",23% $,"3,511",(13)% $,"4,035"
Total ROW — other products,2.268,12 %,"2,027",32 %,"1,537"
Total other product sales,"$ 6,574",19% $,"5,538",(1)% $,5.572
