,Quoted prices in active markets for identical assets,,Significant other observable inputs,Significant unobservable inputs,,
"Fair value measurement as of December 31,2020, using: Assets:",(Level 1),,(Level 2),(Level3),Total,
Available-for-sale securities:,,,,,,
U.S. Treasury notes,$,130 $,,$,$ 130,
U.S. Treasury bills,,"4,948",,,"4,948",
Corporate debt securities:,,,,,,
Financial,,,,,,
Industrial,,,,,,
Other,,,,,,
Residential-mortgage-backed securities,,,,,,
Money market mutual funds,,"4,765",,,"4,765",
Other short-term interest-bearing securities,,,2,,2,
Equity securities,,477,,,477,
Derivatives:,,,,,,
Foreign currency contracts,,,28,,28,
Cross-currency swap contracts,,,255,,255,
Interest rate swap contracts,,,66,,66,
Total assets,$,"10,320 $",351,$,"$ 10,671",
Liabilities:,,,,,,
Derivatives:,,,,,,
Foreign currency contracts,$,$,,237$,$,237
Cross-currency swap contracts,,,,318,,318
Interest rate swap contracts,,,,15,,15
Contingent consideration obligations,,,,,33,33
Total liabilities,$,,$,570s,33S,603
