2020 2019 2018,2020 2019 2018,2020 2019 2018,2020 2019 2018
Revenues:,,,
Product sales,"$ 24,240$ 22,204$","$ 24,240$ 22,204$","22,533"
Other revenues,"1,184","1,158","1,214"
Total revenues,"25,424 23,362","25,424 23,362","23,747"
Operating expenses:,,,
Cost of sales,"6,159","4,356","4,101"
Research and development,"4,207","4,116","3,737"
"Seling, general and administrative","5,730","5,150","5,332"
Other,189,66,314
Total operating expenses,"16,285","13,688","13,484"
"Operating income 9,139 9,674","Operating income 9,139 9,674","Operating income 9,139 9,674","10,263"
"Interest expense, net 1,262 1,289 1,392","Interest expense, net 1,262 1,289 1,392","Interest expense, net 1,262 1,289 1,392","Interest expense, net 1,262 1,289 1,392"
"Interest and other incom, net 256 753 674","Interest and other incom, net 256 753 674","Interest and other incom, net 256 753 674","Interest and other incom, net 256 753 674"
"Income before income taxes 8,133 9,138 9,545","Income before income taxes 8,133 9,138 9,545","Income before income taxes 8,133 9,138 9,545","Income before income taxes 8,133 9,138 9,545"
"Provision for income taxes 869 1,296 1,151","Provision for income taxes 869 1,296 1,151","Provision for income taxes 869 1,296 1,151","Provision for income taxes 869 1,296 1,151"
"Net income $ 7,264$7,842$ 8,394","Net income $ 7,264$7,842$ 8,394","Net income $ 7,264$7,842$ 8,394","Net income $ 7,264$7,842$ 8,394"
Earnings per share:,Earnings per share:,Earnings per share:,Earnings per share:
Basic $ 12.40 $ 12.96 $ 12.70,Basic $ 12.40 $ 12.96 $ 12.70,Basic $ 12.40 $ 12.96 $ 12.70,Basic $ 12.40 $ 12.96 $ 12.70
Diluted $ 12.31 $ 12.88 $ 12.62,Diluted $ 12.31 $ 12.88 $ 12.62,Diluted $ 12.31 $ 12.88 $ 12.62,Diluted $ 12.31 $ 12.88 $ 12.62
Shares used in the calculation of earnings per share:,Shares used in the calculation of earnings per share:,Shares used in the calculation of earnings per share:,Shares used in the calculation of earnings per share:
Basic 586 605 661 Diluted 590 609 665,Basic 586 605 661 Diluted 590 609 665,Basic 586 605 661 Diluted 590 609 665,Basic 586 605 661 Diluted 590 609 665
