Components of AOCI,,,,Consolidated Statements of Income locations
Cash flow hedges:,Cash flow hedges:,Cash flow hedges:,Cash flow hedges:,
Foreign currency contract gains (losses),$178,$101,$(21),Product sales
Cross-currency swap contract gains (losses),323,110,(241),"""(241) Interest and other income, net"""
Cash flow hedges:,,,,Income before income taxes
Cash flow hedges:,,,,Provision for income taxes
Cash flow hedges:,,,,Net income
Available-for-sale securities:,Available-for-sale securities:,Available-for-sale securities:,Available-for-sale securities:,
Net realized gains (losses),$,33$,$(365),"""56$(365) Interest and other income, net"""
Available-for-sale securities:,,,,Provision for income taxes
Available-for-sale securities:,,,,Net income
