"Year ended December 31,2020",Change,"Year ended December 31,2019",Change,"Year ended December 31,2018"
Nplate® — U.S.,"$ 485,1% $",480,10% $,438
Nplate® — ROW,365,16 %,315,13 %
Vectibix® — U.S.,342,8%,316,10 %
Vectibix® — ROW,469,10%,428,6%
MVASI® — U.S.,656,*,121,N/A
MVASI® — ROW,142,*,6,N/A
Parsabiv® — U.S.,605,10 %,550,82%
Parsabiv® — ROW,111,39 %,80,*
EPOGEN® — U.S.,598,(31)%,867,(14)%
KANJINTI® — U.S.,475,*,118,N/A
KANJINTI® — ROW,92,(15)%,108,*
BLINCYTO® — U.S.,231,31%,176,31%
BLINCYTO® — ROW,148,9%,136,42 %
Aimovig® — U.S.,378,24 %,*,306
EVENITY® — U.S.,191,,*,42
EVENITY® — ROW,159,8%,*,54 %
Sensipar® — U.S.,331,(63)%,215,
Sensipar®/Mimpara® — ROW,92,(34)%,252 299,(82)%
NEUPOGEN® — U.S.,196 144,(19)% (12)%,178,(20)%
NEUPOGEN® — ROW,81,(6)%,86,(39)%
Other — U.S.,109,4%,105,24 %
Other — ROW,174,(16)%,207,9%
Total other product sales,"$ 6,574",19% $,"5,538",(1)% $
