"Year ended December 31, 2020",Change,"Year ended December 31, 2019",Change,"Year ended December 31, 2018"
Cost of sales,"$,","6,159",41 %,",$4,356"
% of product sales,,25.4 %,,19.6 %
% of total revenues,,24.2 %,,18.6%
Research and development,"$,","4,207",2 %,",$ 4,116"
% of product sales,,17.4 %,,18.5 %
% of total revenues,,16.5 %,,17.6 %
"Selling, general and administrative","$,","5,730",11 %,",$5,150"
% of product sales,,23.6 %,,23.2 %
% of total revenues,,22.5 %,,22.0 %
Other,"$,",189,*,",$66"
