"Years ended December 31,",2020,2019
GAAP operating income,"$9,139","$9,674"
Adjustments to operating income:,,
Acquisition-related expenses(a),"3,013","1,438"
Certain net charges pursuant to our restructuring initiatives(b),(3),45
Expense related to various legal proceedings,185,
Total adjustments to operating income,"3,195","1,483"
Non-GAAP operating income,"$12,334","$11,157"
GAAP operating income as a percentage of product sales,37.7%,43.6%
Adjustments to operating income,13.2,6.6
Non-GAAP operating income as a percentage of product sales,50.9%,50.2%
GAAP net income,"$7,264","$7,842"
Adjustments to net income:,,
Adjustments to operating expenses,"3,195","1,483"
Adjustments to other income(c),(634),(329)
Income tax effect of the above adjustments(d),-67,-329
Other income tax adjustments(e),,32
Total adjustments to net income,"2,531","1,186"
Non-GAAP net income,"$9,795","$9,028"
Weighted-average shares for GAAP diluted EPS,590,609
Weighted-average shares for Non-GAAP diluted EPS,590,609
GAAP diluted EPS,$12.31,$12.88
Non-GAAP diluted EPS,$16.60,$14.82
