Consolidated Statements of Income Data,2020,2020,2019,2019,2018,2018,2017,2017,2016,2016
"(In millions, except per-share data)","(In millions, except per-share data)","(In millions, except per-share data)","(In millions, except per-share data)","(In millions, except per-share data)","(In millions, except per-share data)","(In millions, except per-share data)","(In millions, except per-share data)","(In millions, except per-share data)","(In millions, except per-share data)","(In millions, except per-share data)"
Revenues:,,,,,,,,,,
Product sales,,"$ 24,240",,"$ 22,204",,"$ 22,533",,"$ 21,795",,"$ 21,892"
Other revenues,,"1,184",,"1,158",,"1,214",,"1,054",,"1,099"
Total revenues,,"$ 25,424",,"$ 23,362",,"$ 23,747",,"$ 22,849",,"$ 22,991"
Operating expenses:,,,,,,,,,,
Cost of sales,,"$ 6,159",,"$ 4,356",,"$ 4,101",,"$ 4,069",,"$ 4,162"
Research and development,,"$ 4,207",,"$ 4,116",,"$ 3,737",,"$ 3,562",,"$ 3,840"
"Selling, general and administrative",,"$ 5,730",,"$ 5,150",,"$ 5,332",,"$ 4,870",,"$ 5,062"
Net income^(1),,"$ 7,264",,"$ 7,842",,"$ 8,394",,"$ 1,979",,"$ 7,722"
Diluted earnings per share^(1),,12.31,,12.88,,12.62,,2.69,,10.24
Dividends paid per share,,6.40,,5.80,,5.28,,4.60,,4.00
