"(In millions, except per-share data)",,
"Years ended December 31,",2020,2019
GAAP operating income,"$9,139","$9,674"
Adjustments to operating income:,,
Acquisition-related expenses(a),3.013,"1,438"
Certainnetchargespursuant toour restructuringinitiativesb),（3）,45
Expenserelated tovarious legal proceedings,185,二
Total adjustments to operating income,"3,195","1,483"
Non-GAAP operating income,"$12,334","$11,157"
GAAP operating income as a percentage of product sales,37.7%,43.6%
Adjustments tooperating income,13.2,6.6
Non-GAAP operating income as a percentage of product sales,50.9%,50.2%
GAAP net income,"$7,264","$7,842"
Adjustments to net income:,,
Adjustments to operating expenses,"3,195 37","1,483"
Adjustments toother income(),(634),二 (329)
Income tax effect oftheaboveadjustments(d),（67),
Other income tax adjustments(e),,32
Total adjustments tonet income,2.531,"1,186"
Non-GAAP net income,"$9,795","$9,028"
Weighted-average shares for GAAP diluted EPS,,
Weighted-averageshares forNon-GAAP diluted EPS,590,609
,590,609
GAAP diluted EPS,$12.31,$12.88
Non-GAAP diluted EPS,$16.60,$14.82
