Signature,Title,Date
/S/ ROBERT A. BRADWAY,"Chairman of the Board, Chief Executive Officer and President, and Director (Principal Executive Officer)",2/8/2021
/S/ PETER H. GRIFFITH,Executive Vice President and Chief Financial Officer (Principal Financial Officer),2/8/2021
/S/ LINDA H. LOUIE,"Vice President, Finance and Chief Accounting Officer (Principal Accounting Officer)",2/8/2021
/S/ WANDA M. AUSTIN,,2/8/2021
,Director,2/8/2021
/S/ BRIAN J. DRUKER,,2/8/2021
,Director,2/8/2021
/S/ ROBERT A. ECKERT,,2/8/2021
,Director,2/8/2021
/S/ GREG C. GARLAND,,2/8/2021
,Director,2/8/2021
/S/ FRED HASSAN,,2/8/2021
,Director,2/8/2021
"/S/ CHARLES M. HOLLEY, JR.",,2/8/2021
,Director,2/8/2021
/S/ TYLER JACKS,,2/8/2021
,Director,2/8/2021
/S/ ELLEN J. KULLMAN,,2/8/2021
,Director,2/8/2021
/S/ AMY E. MILES,,2/8/2021
,Director,2/8/2021
/S/ RONALD D. SUGAR,,2/8/2021
,Director,2/8/2021
/S/ R. SANDERS WILLIAMS,,2/8/2021
,Director,2/8/2021
