Components of AOCI,2020,2019,2018,Consolidated Statements of Income locations
Cash flow hedges:,Cash flow hedges:,Cash flow hedges:,Cash flow hedges:,
Foreign currency contract gains (losses),Foreign currency contract gains (losses),,Product sales,
Cross-currency swap contract gains (losses),Cross-currency swap contract gains (losses),,"Interest and other income, net",
,Cash flow hedges:,,Income before income taxes,
,Cash flow hedges:,,Provision for income taxes,
,Cash flow hedges:,,Net income,
Available-for-sale securities:,Available-for-sale securities:,Available-for-sale securities:,Available-for-sale securities:,
Net realized gains (losses),Net realized gains (losses),,"Interest and other income, net",
,Available-for-sale securities:,,Provision for income taxes,
,Available-for-sale securities:,,Net income,
