Useful life (in years),"December 31,",2020,2019
Land,-,$259,$263
Buildings and improvements,10-40,"3,857","3,757"
Manufacturing equipment,8-12,"2,865","2,655"
Laboratory equipment,8-12,"1,257","1,236"
Fixed equipment,12,"2,406","2,338"
Capitalized software,3-5,"1,216","1,154"
Other,5-10,"1,091",975
Construction in progress,-,915,907
"Property, plant and equipment, gross",,"13,866","13,285"
Less accumulated depreciation and amortization,,"(8,977)","(8,357)"
"Property, plant and equipment, net","$4,889","$4,928",
