Product,Territory,Competitor-marketed product,Competitors
ENBREL,U.S. & Canada,REMICADE®*,"Janssen Biotech,Inc. (Janssen)"
ENBREL,U.S. & Canada,HUMIRA®,AbbVie Inc. (AbbVie)
ENBREL,U.S. & Europe,Xeljanz®,Pfizer Inc.
ENBREL,U.S. & Canada,RINVOQ®,AbbVie
Prolia®,U.S. & Europe,"Alendronate, raloxifene and zoledronate generics",Various
Neulasta®,U.S.,UDENYCA®,"Coherus BioSciences,Inc."
Neulasta®,U.S.,Fulphila®,Mylan Institutional Inc.
Neulasta®,U.S. & Europe,Filgrastim biosimilars,Various
Otezla®,U.S. & Europe,HUMIRA®(3)†,AbbVie
Otezla®,U.S. & Europe,Cosentyx®(3),Novartis Pharma AG (Novartis)
Otezla®,U.S. & Europe,Taltz®(3),Eli Lilly and Company (Lilly)
Otezla®,U.S. & Europe,Tremfya®(3),Janssen
Otezla®,U.S. & Europe,Skyrizi®(3),AbbVie
Otezla®,U.S. & Europe,Methotrexate generics(3),Various
XGEVA®,U.S. & Europe,Zoledronate generics,Various
Aranesp®,U.S.,PROCRI®(4),Janssen
Aranesp®,U.S. & Europe,Epoetin alfa biosimilars,Various
KYPROLIS®,U.S.,VELCADE®,"Millennium Pharmaceuticals,Inc.(6)"
KYPROLIS®,U.S. & Europe,REVLIIMID®,Celgene(7)
KYPROLIS®,U.S.,POMALYST®,Celgene(7)
KYPROLIS®,U.S.,DARZALEX®,Janssen
Repatha®,U.S. & Europe,PRALUENT®,"Regeneron Pharmaceuticals,Inc."
Repatha®,U.S. & Europe,PRALUENT®,Sanofi
