"Balance as of December 31, 2017",,$ (529),Foreign currency translation adjustments,$,$ (679)
$ (529),,,(6),,
"Cumulative effect of change in accounting principle, net of tax",,,,,
,-,-,(9),,(9)
Foreign currency translation adjustments,-141,,,,-141
(141),,,,,
Unrealized gains (losses),,61,-556,,-495
-,61,-,(556),,
Reclassification adjustments to income,,262,365,,627
-,262,,365,,
Other losses,,,,-2,-2
-,-,-,(2),,(2)
Income taxes,,,-76,6,-70
-,-,-76,6,,-70
"Balance as of December 31, 2018",$ (670),241,(338),-2,$ (769)
(670),,241,(338),-2,
Foreign currency translation adjustments,-48,,,,-48
-48,,,,,
Unrealized gains,,127,424,,551
-,-,127,424,,(48) 551
Reclassification adjustments to income,,-211,-56,,-267
-,-,-211,-56,,
Other losses,,,,-5,-5
-,-,-,(5),,(5)
Income taxes,,18,-8,,10
-,-,18,-8,,(5) 10
"Balance as of December 31, 2019",$ (718),175,22,-7,$ (528)
(718),,175,22,-7,
Foreign currency translation adjustments,9,,,,9
9,,,,,
Unrealized (losses) gains,,(61),6,,-55
-,-,(61),6,,(55)
Reclassification adjustments to income,,-501,-33,,-534
-,-,-501,-33,,
Other losses,,,,-7,-7
-,-,-,(7),,(7)
Income taxes,,124,6,,130
-,-,124,6,,130
"Balance as of December 31, 2020",$ (709),-263,1,(14S),$ (985)
