Year ended December 31,2020,Change,Year ended December 31,2019,Change,Year ended December 31,2018
Nplate® — U.S.,485,1 %,480,10 %,438,,
Nplate® — ROW,365,16 %,315,13 %,279,,
Vectibix® — U.S.,342,8 %,316,10 %,288,,
Vectibix® — ROW,469,10 %,428,6 %,403,,
MVASI® — U.S.,656,*,121,N/A,——,,
MVASI® — ROW,142,*,6,N/A,——,,
Parsabiv® — U.S.,605,10 %,550,82 %,302,,
Parsabiv® — ROW,111,39 %,80,*,34,,
EPOGEN® — U.S.,598,(31)%,867,(14)%,1,010,
KANJINTI® — U.S.,475,*,118,N/A,——,,
KANJINTI® — ROW,92,(15)%,108,*,44,,
BLINCYTO® — U.S.,231,31 %,176,31 %,134,,
BLINCYTO® — ROW,148,9 %,136,42 %,96,,
Aimovig® — U.S.,378,24 %,306,*,119,,
EVENITY® — U.S.,191,*,42,N/A,——,,
EVENITY® — ROW,159,8 %,147,N/A,——,,
AMGEVITA™ — ROW,331,54 %,215,*,11,,
Sensipar® — U.S.,92,(63)%,252,(82)%,1,436,
Sensipar®/Mimpara® — ROW,196,(34)%,299,(12)%,338,,
NEUPOGEN® — U.S.,144,(19)%,178,(20)%,223,,
NEUPOGEN® — ROW,81,(6)%,86,(39)%,142,,
Other — U.S.,109,4 %,105,24 %,85,,
Other — ROW,174,(16)%,207,9 %,190,,
Total other product sales,$ 6,574,19 %,$ 5,538,(1) %,"$ 5,572"
Total U.S. — other products,$ 4,306,23 %,$ 3,511,(13) %,"$ 4,035"
Total ROW — other products,$ 2,268,12 %,$ 2,027,32 %,"$ 1,537"
Total other product sales,$ 6,574,19 %,$ 5,538,(1) %,"$ 5,572"
