Product,Territory,General subject matter,Expiration
Enbrel® (etanercept),U.S.,Methods of treatment using aqueous formulations,6/8/2023
Enbrel® (etanercept),U.S.,Formulations,10/19/2037
Enbrel® (etanercept),U.S.,Fusion protein and pharmaceutical compositions,11/22/2028
Enbrel® (etanercept),U.S.,DNA encoding fusion protein and methods of making fusion protein,4/24/2029
Enbrel® (etanercept),U.S.,RANKL antibodies,9/17/2021
Enbrel® (etanercept),U.S.,Methods of treatment,6/25/2022
Prolia®/XGEVA® (denosumab),U.S.,Nucleic acids encoding RANKL antibodies and methods of producing RANKL antibodies,11/30/2023
Prolia®/XGEVA® (denosumab),U.S.,RANKL antibodies,"including sequences,2/19/2025"
Prolia®/XGEVA® (denosumab),Europe,RANKL antibodies,"including epitope binding,2/23/2021"
Prolia®/XGEVA® (denosumab),Europe,RANKL antibodies,"including sequences,6/25/2022"
Otezla® (apremilast),U.S.,Compositions and compounds,2/16/2028
Otezla® (apremilast),U.S.,Crystalline form,12/9/2023
Otezla® (apremilast),U.S.,Methods of treatment,5/29/2034
Otezla® (apremilast),Europe,Compositions,"compounds and methods of treatment,3/20/2023"
Otezla® (apremilast),Europe,Formulation,12/26/2032
Aranesp® (darbepoetin alfa),U.S.,Glycosylation analogs of erythropoietin proteins,5/15/2024
Aranesp® (darbepoetin alfa),U.S.,Compositions and compounds,12/7/2027
KYPROLIS® (carfilzomib),U.S.,Methods of treatment,4/14/2025
KYPROLIS® (carfilzomib),U.S.,Methods of making,5/8/2033
KYPROLIS® (carfilzomib),Europe,Compositions,"compounds and methods of treatment,12/7/2025"
Repatha® (evolocumab),U.S.,Antibodies,10/25/2029
Repatha® (evolocumab),U.S.,Methods of treatment,10/8/2030
Repatha® (evolocumab),Europe,Compositions,8/22/2028
Repatha® (evolocumab),Europe,Methods of treatment,5/10/2032
Repatha® (evolocumab),Europe,Formulation,5/3/2033
Nplate® (romiplostim),U.S.,Thrombopoietic compounds,1/19/2022
Nplate® (romiplostim),U.S.,Formulation,2/12/2028
Nplate® (romiplostim),Europe,Thrombopoietic compounds,10/22/2019
Nplate® (romiplostim),Europe,Formulation,4/20/2027
Vectibix® (panitumumab),Europe,Human monoclonal antibodies to epidermal growth factor receptor,5/5/2018
Parsabiv® (etelcalcetide),U.S.,Compound and pharmaceutical composition,2/7/2031
Parsabiv® (etelcalcetide),U.S.,Formulation,6/27/2034
Parsabiv® (etelcalcetide),U.S.,Methods of making,8/9/2035
Parsabiv® (etelcalcetide),Europe,Compound and pharmaceutical composition,7/29/2030
Parsabiv® (etelcalcetide),Europe,Formulation,6/27/2034
BLINCYTO® (blinatumomab),U.S.,Pharmaceutical compositions and bifunctional polypeptides,4/6/2030
BLINCYTO® (blinatumomab),U.S.,Method of administration,9/28/2027
BLINCYTO® (blinatumomab),Europe,Bifunctional polypeptides,11/26/2024
BLINCYTO® (blinatumomab),Europe,Method of administration,11/6/2029
Aimovig® (erenumab-aooe),U.S.,CGRP receptor antibodies,11/9/2031
Aimovig® (erenumab-aooe),U.S.,Methods of treatment,4/22/2036
Aimovig® (erenumab-aooe),Europe,CGRP receptor antibodies,12/18/2029
Aimovig® (erenumab-aooe),Europe,Methods of treatment,8/10/2035
EVENITY® (romosozumab-aqqg),U.S.,Antibodies,4/25/2026
EVENITY® (romosozumab-aqqg),U.S.,Methods of treatment,1/11/2029
EVENITY® (romosozumab-aqqg),U.S.,Formulation and methods of using formulation,5/11/2031
EVENITY® (romosozumab-aqqg),Europe,Antibodies,4/28/2026
EVENITY® (romosozumab-aqqg),Europe,Methods of treatment,4/18/2032
EVENITY® (romosozumab-aqqg),Europe,Formulation and methods of using formulation,5/11/2031
IMLYGIC® (talimogene laherparepvec),U.S.,Compositions,11/23/2025
IMLYGIC® (talimogene laherparepvec),U.S.,Method of treatment,3/27/2022
IMLYGIC® (talimogene laherparepvec),Europe,Composition and uses,3/27/2022
