Years ended December 31,,2020,2019,2018
Federal statutory tax rate,21.0 %,21.0 %,21.0 %,
Foreign earnings,(4.7)%,(4.5)%,(4.3)%,
Foreign-derived intangible income,(0.7)%,(0.7)%,(0.4)%,
Credits, Puerto Rico Excise Tax,(2.9)%,(2.6)%,(2.5)%
2017 Tax Act, net impact on intercompany sales,— %,— %,(1.8)%
Interest on uncertain tax positions,1.1 %,1.6 %,1.2 %,
Credits, primarily federal R&D,(1.4)%,(1.0)%,(0.8)%
Audit settlements,(1.0)%,— %,(0.3)%,
Other, net,(0.7)%,0.4 %,— %
Effective tax rate,10.7 %,14.2 %,12.1 %,
