Current liabilities,Accounts payable,"$1,421","$1,371",,
,Accrued liabilities,"10,141","8,511",,
,Current portion of long-term debt,91,"2,953",,
Total current liabilities,,"11,653","12,835",,
Long-term debt,,"32,895","26,950",,
Long-term tax liabilities,,"6,968","8,037",,
Other noncurrent liabilities,,"2,023","2,212",,
Contingencies and commitments,,,,,
Stockholders' equity,"Common stock and additional paid-in capital;$0.0001 par value per share;2,750.0 shares authorized; outstanding—578.3 shares in 2020 and 591.4 shares in 2019","31,802","31,531",,
,Accumulated deficit,"(21,408)","(21,330)",,
,Accumulated other comprehensive loss,(985),(528),,
Total stockholders' equity,,"9,409","9,673",,
Total liabilities and stockholders' equity,"$62,948","$59,707",,,
