Product,Territory,Competitor-marketed product Competitors,Competitor-marketed product Competitors
ENBREL,U.S. & Canada,REMICADE@*,"Janssen Biotech, Inc. (Janssen)(1)"
ENBREL,U.S. & Canada,HUMIRA?,AbbVie Inc. (AbbVie)
ENBREL,U.S. & Europe,Xeljanz@,Pfizer Inc.
ENBREL,U.S. & Canada,RINVOQ?,AbbVie
Prolia@,U.S. & Europe,"Alendronate, raloxifene and zoledronate generics",Various
,U.S.,UDENYCA?,"Coherus BioSciences, Inc."
Neulasta@(2),U.s.,Fulphila?,Mylan Institutional Inc.
Neulasta@(2),U.S. & Europe,Filgrastim biosimilars,Various
,U.S. & Europe,HUMIRA ?(3)t,AbbVie
,U.S. & Europe,Cosentyx @(3),Novartis Pharma AG (Novartis)
Otezla?,U.S. & Europe,Talt2@(3),Eli Lilly and Company (Lilly)
Otezla?,U.S. & Europe,Tremfya@(3),Janssen
,U.S. & Europe,Skyrizi®(3),AbbVie
,U.S.& Europe,Methotrexate generics(3),Various
XGEVA?,U.S. & Europe,Zoledronate generics,Various
Aranesp@,U.S.,PROCRIT@(4),Janssen1
Aranesp@,U.S. & Europe,Epoetin alfa biosimilars,Various
KYPROLIS@(5),U.s.,VELCADE?,"Millennium Pharmaceuticals, Inc.(6)"
KYPROLIS@(5),U.S. & Europe,REVLIMID?,Celgene(7)
KYPROLIS@(5),U.S.,POMALYST?,Celgene(7)
KYPROLIS@(5),U.S.,DARZALEX?,Janssen(1)
Repatha?,U.S. & Europe,"PRALUENT? Regeneron Pharmaceuticals, Inc.Sanofi","PRALUENT? Regeneron Pharmaceuticals, Inc.Sanofi"
