,"Years ended December31,","Years ended December31,","Years ended December31,","Years ended December31,","Years ended December31,"
,,2020,2019,,2018
AmerisourceBergen Corporation:,,,,,
Gross product sales,$,"14,743",$,"12,301 $","12,091"
% of total gross revenues,,34 %,,33 %,33 %
McKesson Corporation:,,,,,
Gross product sales,$,"13,779",$,"11,795 $","11,434"
% of total gross revenues,,32 %,,31%,31%
"Cardinal Health, Inc.:",,,,,
Gross product sales,$,"7,332",$,"6,538 $","7,475"
% of total gross revenues,,17 %,,17 %,20%
