,"December 31,","December 31,"
,2020,2019
4.50% notes due 2020 (4.50% 2020 Notes),,300
2.125% n0tes due 2020 (2.125% 2020 Notes),,750
Floating Rate Notes due 2020,,300
2.20% notes due 2020 (2.20% 2020 Notes),,700
3.45% notes due 2020 (3.45% 2020 Notes),,900
4.10% notes due 2021 (4.10% 2021 Notes),,"1,000"
1.85% notes due 2021 (1.85% 2021 Notes),,750
3.875% notes due 2021 (3.875% 2021 Notes),,"1,750"
"1.25% €1,250 million notes due 2022 (1.25% 2022 euro Notes)","1,527","1,402"
2.70% notes due 2022 (2.70% 2022 Notes),500,500
2.65% notes due 2022 (2.65% 2022 Notes),"1,500","1,500"
3.625% notes due 2022 (3.625% 2022 Notes),750,750
0.41% CHF700 million bonds due 2023 (0.41% 2023 Swiss franc Bonds),791,725
2.25% notes due 2023 (2.25% 2023 Notes),750,750
3.625% n0tes due 2024 (3.625% 2024 Notes),"1,400","1,400"
1.90% notes due 2025 (1.90% 2025 Notes),500,丨
3.125% notes due 2025 (3.125% 2025 Notes),"1,000","1,000"
2.00% €750 million notes due 2026 (2.00% 2026 euro Notes),916,841
2.60% notes due 2026 (2.60% 2026 Notes),"1,250","1,250"
5.50% f475 million notes due 2026 (5.50% 2026 pound sterling Notes),649,630
2.20% notes due 2027 (2.20% 2027 Notes),"1,750",
3.20% notes due 2027 (3.20% 2027 Notes),"1,000","1,000"
4.00% f700 million notes due 2029 (4.00% 2029 pound sterling Notes),957,928
2.45% notes due 2030 (2.45% 2030 Notes),"1,250",一
2.30% notes due 2031 (2.30% 2031 Notes) 6.375% notes due 2037 (6.375% 2037 Notes),"1,250",
6.90% notes due 2038 (6.90% 2038 Notes),478,552
6.40% notes due 2039 (6.40% 2039 Notes),254,291
3.15% notes due 2040 (3.15% 2040 Notes),333,466
5.75% notes due 2040 (5.75% 2040 Notes),"2,000",
4.95% notes due 2041 (4.95% 2041 Notes),373,412
,600,600
5.15% notes due 2041 (5.15% 2041 Notes),729,974
5.65% notes due 2042 (5.65% 2042 Notes),415,487
5.375% notes due 2043 (5.375% 2043 Notes),185,261
4.40% notes due 2045 (4.40% 2045 Notes) 4.563% notes due 2048 (4.563% 2048 Notes),"2,250","2,250"
3.375% notes due 2050 (3.375% 2050 Notes),"1,415","1,415"
4.663% notes due 2051 (4.663% 2051 Notes),"2,250",
2.77% notes due 2053 (2.77% 2053 Notes),"3,541","3,541"
Other notes due 2097,940,
"Unamortized bond discounts, premiums and issuance costs, net",100,100
Fair value adjustments,"(1,188)",(868)
,566,296
Other,5,
Total carrying value of debt,"32,986","29,903"
Less current portion Total long-term debt,"(91) $ 32,895$","(2,953) 26,950"
