"Balance as of December 31, 2017","$ 1,867",272,108,"$ 2,247"
Amounts charged against product sales,"6,180","6,926","1,180","14,286"
Payments,"(5,458)","(6,744)","(1,161)","(13,363)"
"Balance as of December 31, 2018","2,589",454,127,"3,170"
Amounts charged against product sales,"6,825","7,090","1,292","15,207"
Payments,"(6,249)","(6,985)","(1,263)","(14,497)"
"Balance as of December 31, 2019","3,165",559,156,"3,880"
Amounts charged against product sales,"9,167","8,223","1,818","19,208"
Payments,"(8,353)","(8,191)","(1,735)","(18,279)"
"Balance as of December 31, 2020","$ 3,979",591,239,"$ 4,809"
