User,i am looking for an expensive place to stay on the north side of cambridge.
System,"i am sorry , i haven ’ t found any matches , would you like me to look for something else ?"
User,i am looking for a 4 star hotel and i need free internet and parking .
"Ground Truths<hotel, internet, yes>, <hotel, stars, 4>, <hotel, parking, yes>, <hotel, type, hotel>, <hotel, area, north>, <hotel, price range, expensive>",
"DS-Span<hotel, internet, free internet>, <hotel, stars, 4>, <hotel, parking, internet>, <hotel, type, none>, <hotel, area, north>, <hotel, price range, expensive>",
"DS-DST<hotel, internet, yes>, <hotel, stars, 4>, <hotel, parking, yes>, <hotel, type, none>, <hotel, area, north>, <hotel, price range, expensive>",
User,"it’s so hot today , can you help me find a good pool to visit on the north side of the city ?"
System,i have 2 pools in the north area of town : jesus green outdoor pool and kings hedges learner pool . which do you prefer ?
User,kings hedges sounds nice . can i get the address please ?
"Ground Truths<attraction, area, north>, <attraction, type, swimming pool>, <attraction, name, kings hedges learner pool>",
"DS-Span<attraction, area, north>, <attraction, type, pool>, <attraction, name, kings hedges learner pool>",
"DS-DST<attraction, area, north>, <attraction, type, swimming pool>, <attraction, name, kings hedges learner pool>",
User,do you happen to know of any trains leaving for cambridge this wednesday ?
System=yes . there are a total of 202 trains leaving for cambridge on wednesday . where will you be departing from ?,
User,i will be leaving from norwich and i need to arrive by 8 : 15 .
System,the tr4203 is leaving from norwich to cambridge at 05 : 16 . would you like to book a ticket ?
User,"sure , can you book that for 2 people and provide my reference number ?"
"Ground Truths<train, arrive by, 08 : 15>, <train, departure, norwich>, <train, day, wednesday>, <train, book people, 2>, <train, destination, cambridge>",
"DS-Span<train, arrive by, 8 : 15>, <train, departure, norwich>, <train, day, wednesday>, <train, book people, 2>, <train, destination, cambridge>",
"DS-DST<train, arrive by, 8 : 15>, <train, departure, norwich>, <train, day, wednesday>, <train, book people, 2>, <train, destination, cambridge>",
"DS-Picklist<train, arrive by, 08 : 15>, <train, departure, norwich>, <train, day, wednesday>, <train, book people, 2>, <train, destination, cambridge>",
