User,Ground Truths:,DS-Span:,DS-DST:,System
I am looking for a train from ely to cambridge. do you have such trains?,"<train, destination, cambridge>, <train, departure, ely>","<train, destination, cambridge>, <train, departure, ely>","<train, destination, cambridge>, <train, departure, ely>",there are 70 trains do you have a date and time you would like to go?
I would like to leave on a sunday and arrive by 11:30.,"<train, arrive by, 11:30>, <train, destination, cambridge>, <train, departure, ely>, <train, day, sunday>","<train, arrive by, 11:30>, <train, destination, cambridge>, <train, departure, ely>, <train, day, sunday>","<train, arrive by, 11:30>, <train, destination, cambridge>, <train, departure, ely>, <train, day, sunday>",
what time does that train depart?,,"<train, arrive by, 11:30>, <train, destination, cambridge>, <train, departure, ely>, <train, day, sunday>","<train, arrive by, 11:30>, <train, destination, cambridge>, <train, departure, ely>, <train, day, sunday>",
the train leaves at 9:35. shall i book it for you?,,"<train, day, sunday>, <hotel, stars, 4>, <train, destination, cambridge>, <train, arrive by, 11:30>, <train, departure, ely>","<train, day, sunday>, <hotel, stars, 4>, <train, destination, cambridge>, <train, arrive by, 11:30>, <train, departure, ely>",
"no, thank you. i would like to see if you could find a place for me to stay that would have a 4 star rating.",,"<train, day, sunday>, <hotel, stars, 4>, <train, destination, cambridge>, <train, arrive by, 11:30>, <train, departure, ely>","<train, day, sunday>, <hotel, stars, 4>, <train, destination, cambridge>, <train, arrive by, 11:30>, <train, departure, ely>",
"of course, there are many 4 star hotel-s to choose from. would you like me to book 1 for you?",,"<train, day, sunday>, <hotel, stars, 4>, <train, destination, cambridge>, <train, arrive by, 11:30>, <train, departure, ely>","<train, day, sunday>, <hotel, stars, 4>, <train, destination, cambridge>, <train, arrive by, 11:30>, <train, departure, ely>",
"not yet, thanks. are any of them guesthouses?",,"<train, day, sunday>, <hotel, stars, 4>, <train, destination, cambridge>, <train, arrive by, 11:30>, <train, departure, ely>","<train, day, sunday>, <hotel, stars, 4>, <train, destination, cambridge>, <train, arrive by, 11:30>, <train, departure, ely>",
"there are 18 guesthouses to choose from, do you have a preference to the area you would like to stay?",,"<train, day, sunday>, <hotel, book stay, 5>, <hotel, book people, 4>, <hotel, stars, 4>, <train, destination, cambridge>, <hotel, internet, yes>, <hotel, type, guest house>","<train, day, sunday>, <hotel, book stay, 5>, <hotel, book people, 4>, <hotel, stars, 4>, <train, destination, cambridge>, <hotel, internet, yes>, <hotel, type, guest house>",
"i need a 4 star, and in the east with free wifi for 4 people, 5 nights. i'll need a reference number.",,"<train, day, sunday>, <hotel, book stay, 5>, <hotel, book people, 4>, <hotel, stars, 4>, <train, destination, cambridge>, <hotel, internet, yes>, <hotel, type, guest house>","<train, day, sunday>, <hotel, book stay, 5>, <hotel, book people, 4>, <hotel, stars, 4>, <train, destination, cambridge>, <hotel, internet, yes>, <hotel, type, guest house>",
do you want that guesthouse reservation to begin on sunday?,,"<train, day, sunday>, <hotel, book stay, 5>, <hotel, book people, 4>, <hotel, stars, 4>, <train, destination, cambridge>, <hotel, internet, yes>, <hotel, type, guest house>","<train, day, sunday>, <hotel, book stay, 5>, <hotel, book people, 4>, <hotel, stars, 4>, <train, destination, cambridge>, <hotel, internet, yes>, <hotel, type, guest house>",
i have confirmed your reservation at allenbell starting on sunday for 5 nights. your reference number is sltivabu. can i help with anything else?,,"<train, day, sunday>, <hotel, book stay, 5>, <hotel, book people, 4>, <hotel, stars, 4>, <train, destination, cambridge>, <hotel, internet, yes>, <hotel, type, guest house>","<train, day, sunday>, <hotel, book stay, 5>, <hotel, book people, 4>, <hotel, stars, 4>, <train, destination, cambridge>, <hotel, internet, yes>, <hotel, type, guest house>",
that is all i need. thank you so much for all your help.,,"<train, day, sunday>, <hotel, book stay, 5>, <hotel, book people, 4>, <hotel, stars, 4>, <train, destination, cambridge>, <hotel, internet, yes>, <hotel, type, guest house>","<train, day, sunday>, <hotel, book stay, 5>, <hotel, book people, 4>, <hotel, stars, 4>, <train, destination, cambridge>, <hotel, internet, yes>, <hotel, type, guest house>",
