Slot Name,DS-Span,DS-DST,DS-Picklist
hotel-type,87.92,93.97 (+6.05),94.29 (+6.37)
attraction-name,91.16,93.81 (+2.65),93.93 (+2.77)
restaurant-name,92.11,93.38 (+1.27),92.89 (+0.78)
hotel-internet,92.98,97.48 (+4.50),97.26 (+4.28)
hotel-parking,93.42,97.18 (+3.76),96.99 (+3.57)
attraction-type,93.77,96.86 (+3.09),96.91 (+3.14)
hotel-name,94.19,94.87 (+0.68),94.77 (+0.58)
hotel-area,94.73,95.87 (+1.14),95.47 (+0.74)
restaurant-area,96.23,96.86 (+0.63),97.18 (+0.95)
attraction-area,96.57,96.96 (+0.39),96.73 (+0.16)
hotel-price range,96.92,97.39 (+0.47),96.97 (+0.05)
train-departure,96.96,98.55 (+1.59),98.34 (+1.38)
restaurant-food,97.24,97.60 (+0.36),97.19 (-0.05)
restaurant-price range,97.29,97.73 (+0.44),97.69 (+0.40)
taxi-departure,97.57,98.53 (+0.96),98.59 (+1.02)
taxi-destination,97.69,98.49 (+0.80),98.24 (+0.55)
hotel-stars,97.80,97.48 (-0.32),97.76 (-0.04)
train-destination,98.17,98.86 (+0.69),98.59 (+0.42)
train-day,99.24,99.35 (+0.11),99.33 (+0.09)
hotel-book day,99.40,99.32 (-0.08),99.24 (-0.16)
restaurant-book day,99.40,99.57 (+0.17),99.44 (+0.04)
train-leave at,93.43,93.30 (-0.13),93.91 (+0.48)
train-arrive by,95.25,95.78 (+0.53),96.59 (+1.34)
train-book people,97.99,97.84 (-0.15),98.51 (+0.52)
restaurant-book time,98.56,98.44 (-0.12),99.04 (+0.48)
taxi-leave at,98.63,98.53 (-0.10),98.94 (+0.31)
hotel-book people,99.06,99.04 (-0.02),99.29 (+0.23)
taxi-arrive by,99.12,99.01 (-0.11),99.09 (-0.03)
hotel-book stay,99.25,99.25 (+0.00),99.40 (+0.15)
restaurant-book people,99.31,99.16 (-0.15),99.44 (+0.13)
Average Accuracy,96.38%,97.35%,97.40%
