Jurisdiction,GATS XVIIReservation(1994),Foreign OwnershipPermitted,Restrictions on ForeignOwnership,ForeignOwnership ReportingRequirements
Argentina,Y,Y,"Prohibition on ownership ofproperty that contains orborders large and permanentbodies of water and of land inborder security zones.Rural land can only be acquired uponcertificate being granted (totalpercentage must not exceed15% of the territory,in whichshares of nationals of onecountry must not exceed 30%; maximum limit per foreigner;certain long-term residentsexempted).",
Australia,N,Y,"Approval is needed from theTreasurer if the acquisitionconstitutes a ""significant action,"" including acquiring an interest in different types ofland where the monetarythreshold is met for that type ofland. The Treasurer may prohibit a significant action that is found to be contrary tothe national interest.",Acquisitions ofresidential andagricultural land by foreignpersons must bereported to therelevant governmentagency.
Austria,Y,Y,Prior authorization requiredwith exceptions; authorizationmay be refused if the acquisition contradicts nationalpublic policy interests.,
Belgium,N,Y,None.,
Brazil,Y,Y,"Acquisition of rural propertyby an alien individual orcompany, including Braziliancompanies controlled byforeigners, may not exceed 50modules; foreign ownership ofrural areas may not exceed aquarter of the surface of the municipalities, and ownership",
,,,by persons of same nationalitymust not exceed 40% of thequarter.,
Canada,Y,Y,"Prohibition on ownership ofresidential property withexceptions; some provincesalso restrict ownership, including of agricultural land.",
Chile,N,Y,Prohibition on acquisition ofpublic lands within 10kilometers from the border andfavorable military reportrequired for acquisition of land 5 kilometers from the coast; nationals of bordering countries and legal personswith their principal place ofbusiness in one of thosecountries cannot obtain rightsto real estate located totally orpartially in the border area.,
China,N (2001),N,"No individuals, domestic orforeign, can privately ownland. The state grants land userights to land users for acertain number of years.Foreigners can obtain suchland use rights, own residentialhouses and apartments,orincorporate foreign-investedenterprises to invest in realestate.",
Egypt,Y,Y,"Prohibition on ownership of agriculture lands, land in SinaiPeninsula; otherwise, permitted to own up to two properties, up to 4,000 squaremeters,for residential purposes; no disposition for 5 years; approval required to acquire land in tourist areas; joint ownership with anEgyptian who has majority",
,,,"right required to acquire desertlands.No restrictions on landsin Investment Zones,Technological Zones, or FreeZones.",
Finland,N,Y,Prior approval for a foreigner'spurchase of certain businesses may be required when it includes land purchase and thepurchase of business or landinterferes with vital interestsfor Finland; prior approvalfrom the Government of Alandis required for acquisitionswithin the autonomous regionof Aland.,
France,N,Y,None.,
Germany,N,Y,None.,
Greece,N,Y,Prior approval required for purchase by non-EuropeanUnion and non-European FreeTrade Association natural andlegal persons of real estatelocated in border areas.,
India,N,A,"Prohibition on acquisition ofland by citizens of Pakistan,Bangladesh, Sri Lanka,Afghanistan, China, Iran,Nepal, and Bhutan, except forone residential property for self-occupation and one property for carrying out self-employment for long-term visaholders residing in India who are citizens of Afghanistan,Bangladesh or Pakistan andbelong to minority religions inthose countries, subject toconditions; nonresident foreign nationals not of Indian origin,except for inheritance from aresident; and of agriculturalland by diplomatic personnel,",
,N,A,"Prohibition on acquisition ofland by citizens of Pakistan,Bangladesh, Sri Lanka,Afghanistan, China, Iran,Nepal, and Bhutan, except forone residential property for self-occupation and one property for carrying out self-employment for long-term visaholders residing in India who are citizens of Afghanistan,Bangladesh or Pakistan andbelong to minority religions inthose countries, subject toconditions; nonresident foreign nationals not of Indian origin,except for inheritance from aresident; and of agriculturalland by diplomatic personnel,",
,N,A,"Prohibition on acquisition ofland by citizens of Pakistan,Bangladesh, Sri Lanka,Afghanistan, China, Iran,Nepal, and Bhutan, except forone residential property for self-occupation and one property for carrying out self-employment for long-term visaholders residing in India who are citizens of Afghanistan,Bangladesh or Pakistan andbelong to minority religions inthose countries, subject toconditions; nonresident foreign nationals not of Indian origin,except for inheritance from aresident; and of agriculturalland by diplomatic personnel,",
,,,"nonresidents of Indian origin,and nonresident citizenswithout registration.",
Indonesia,Y,N,"Prohibition on foreign individuals holding ownershipright in land or a right to buildon land owned by others.Certain rights in relation toland can be held by foreignresident individuals andIndonesian companies withforeign shareholders,but thereare restrictions as to duration.",
Iran,Not WTOmember,"Y,reciprocity","Prohibition on ownership ofagricultural lands, investment properties, and land insensitive areas,including FreeTrade-Industrial Zones, exceptfor foreign-owned companiesregistered in Iran; otherrestrictions for nonresidents.",
Ireland,N,Y,None.,
Israel,N,Y,Approval required.,
Italy,N,Y,Foreigners from non-EUcountries who do not holdcertain residence permits cannot acquire real estateunless reciprocity conditionfulfilled.,
Japan,N,Y,None.,
Mexico,Y,Y,"Prohibition on ownership oflands located within 100 km ofthe country's borders and 50km of the country's coasts; forother land, foreigners must agree not to invoke the protection of the governments of their countries with respectto the property.",
Netherlands,N,Y,None.,
Nigeria,Y,"N, withexceptions",Ownership not permitted;interests in land may be acquired with approval of the,
,,,governor under laws of certainstates.,
Norway,N,Y,None.,
Philippines,Y,N,Prohibition on acquisition bynon-citizens and corporations or associations whose capital is owned by foreigners in excessof 40%.,
Poland,Y,Y,"Permit required, exceptEuropean Economic Area(EEA)/Swiss citizens andentities,but EEA/Swisscitizens and entities need priorauthorization for a purchase ofland exceeding one hectare inthe border areas or agriculturalland; EEA/Swiss citizens donot need prior authorizationfor purchase of land forfarming if they have leased andfarmed the land for a certainnumber of years.Land forresidence limited to 0.5hectares.",
Portugal,N,Y,None.,
Russia,N (2012),Y,"Prohibition on ownership of agricultural land and landlocated in areas significant tonational security. SinceFebruary 2022, specialconditions are imposed oncitizens and companies of""unfriendly nations.""",
SaudiArabia,Y (2006),Y,"Prohibition on ownership ofland within the borders of thecities of Mecca and Al- Madinah Al-Munawwarah;real estate for investment purposes must be 30 million Saudi Riyals (approx. US$7.9million) or more, except forcitizens of Gulf CooperationCouncil.",
SouthAfrica,N,Y,Foreigners in the country illegally cannot acquire land.,
South Korea,Y,Y，reciprocity,"Prior approval required forland in military bases andinstallation protection zones,designated cultural heritageprotection zones, ecologicaland scenery conservationareas, or special districts for protection of wildlife.",Acquisition ofland other thanby sales contractmust bereported to local government;nonresidentsmust reportunder theForeignExchangeTransactionsAct.
Spain,N,Y,Prohibition on ownership ofland in zones of interest to national defense and military;prior military authorizationrequired for other restricted areas (also applicable toSpanish companies controlledby foreigners).,
Sweden,N,Y,None.,
Switzerland,Y,Y,"Prior authorization required,with exceptions.",
Taiwan,Y,Y，reciprocity,"Prohibition on ownership offorest lands, fisheries,hunting grounds, salt fields, lands withmineral deposits, sources ofwater, lands lying withinfortified and military areas,and lands adjacent to the national frontiers; authoritiesmay restrict area and locationof other lands that can be acquired by foreigners for certain uses.",
Thailand,Y,"N, withexceptions","Exception: Treaty (noneexisting); investor's residence,with strict conditions.",
Turkey,Y,Y,Foreign natural persons of 183designated countries may own,
,,,"up to 30 hectares, but the total acreage of the property ownedby foreigners cannot surpass10% of the total land acreage ofprivate property in the district;foreign business associationswith legal personality mayonly acquire property if speciallaws allow; president can banforeign persons and entities;entities controlled byforeigners are limited tocarrying out certain fields ofactivity; acquisition prohibitedin designated military zones.",
UnitedArabEmirates,Y,Y,"Ownership prohibited in theemirate of Abu Dhabi, exceptfor the investment zone, and inthe Emirate of Dubai, except indesignated locations; citizensof the Gulf CooperationCouncil countries can ownland in Dubai.",
UnitedKingdom,N,Y,None.,Overseasentities mustdeclare theirbeneficialowners and/ormanagingofficers on theRegister ofOverseasEntities.
