Jurisdiction,GATS XVII Reservation (1994),Foreign Ownership Permitted,Restrictions on Foreign Ownership,Foreign Ownership Reporting Requirements
Argentina,Y,Y,"Prohibition on ownership of property that contains or borders large and permanent bodies of water and of land in border security zones. Rural land can only be acquired upon certificate being granted (total percentage must not exceed 15% of the territory, in which shares of nationals of one country must not exceed 30%; maximum limit per foreigner; certain long-term residents exempted).",
Australia,N,Y,"Approval is needed from the Treasurer if the acquisition constitutes a “significant action,” including acquiring an interest in different types of land where the monetary threshold is met for that type of land. The Treasurer may prohibit a significant action that is found to be contrary to the national interest.",Acquisitions of residential and agricultural land by foreign persons must be reported to the relevant government agency.
Austria,Y,Y,Prior authorization required with exceptions; authorization may be refused if the acquisition contradicts national public policy interests.,
Belgium,N,Y,None.,
Brazil,Y,Y,"Acquisition of rural property by an alien individual or company, including Brazilian companies controlled by foreigners, may not exceed 50 modules; foreign ownership of rural areas may not exceed a quarter of the surface of the municipalities, and ownership by persons of same nationality must not exceed 40% of the quarter.",
Canada,Y,Y,"Prohibition on ownership of residential property with exceptions; some provinces also restrict ownership, including of agricultural land.",
Chile,N,Y,Prohibition on acquisition of public lands within 10 kilometers from the border and favorable military report required for acquisition of land 5 kilometers from the coast; nationals of bordering countries and legal persons with their principal place of business in one of those countries cannot obtain rights to real estate located totally or partially in the border area.,
China,N (2001),N,"No individuals, domestic or foreign, can privately own land. The state grants land user rights to land users for a certain number of years. Foreigners can obtain such land use rights, own residential houses and apartments, or incorporate foreign-invested enterprises to invest in real estate.",
Egypt,Y,Y,"Prohibition on ownership of agriculture lands, land in Sinai Peninsula; otherwise, permitted to own up to two properties, up to 4,000 square meters, for residential purposes; no disposition for 5 years; approval required to acquire land in tourist areas; joint ownership with an Egyptian who has majority right required to acquire desert lands. No restrictions on lands in Investment Zones, Technological Zones, or Free Zones.",
Finland,N,Y,Prior approval for a foreigner's purchase of certain businesses may be required when it includes land purchase and the purchase of business or land interferes with vital interests for Finland; prior approval from the Government of Åland is required for acquisitions within the autonomous region of Åland.,
France,N,Y,None.,
Germany,N,Y,None.,
Greece,N,Y,Prior approval required for purchase by non-European Union and non-European Free Trade Association natural and legal persons of real estate located in border areas.,
India,N,A,"Prohibition on acquisition of land by citizens of Pakistan, Bangladesh, Sri Lanka, Afghanistan, China, Iran, Nepal, and Bhutan, except for one residential property for self-occupation and one property for carrying out self-employment for long-term visa holders residing in India who are citizens of Afghanistan, Bangladesh or Pakistan and belong to minority religions in those countries, subject to conditions; nonresident foreign nationals not of Indian origin, except for inheritance from a resident; and of agricultural land by diplomatic personnel.",
Indonesia,Y,N,"Prohibition on foreign individuals holding ownership right in land or a right to build on land owned by others. Certain rights in relation to land can be held by foreign resident individuals and Indonesian companies with foreign shareholders, but there are restrictions as to duration.",
Iran,Not WTO member,"Y, reciprocity","Prohibition on ownership of agricultural lands, investment properties, and land in sensitive areas, including Free Trade-Industrial Zones, except for foreign-owned companies registered in Iran; other restrictions for nonresidents.",
Ireland,N,Y,None.,
Israel,N,Y,Approval required.,
Italy,N,Y,Foreigners from non-EU countries who do not hold certain residence permits cannot acquire real estate unless reciprocity condition fulfilled.,
Japan,N,Y,None.,
Mexico,Y,Y,"Prohibition on ownership of lands located within 100 km of the country's borders and 50 km of the country's coasts; for other land, foreigners must agree not to invoke the protection of the governments of their countries with respect to the property.",
Netherlands,N,Y,None.,
Nigeria,Y,"N, with exceptions",Ownership not permitted; interests in land may be acquired with approval of the governor under laws of certain states.,
Norway,N,Y,None.,
Philippines,Y,N,Prohibition on acquisition by non-citizens and corporations or associations whose capital is owned by foreigners in excess of 40%.,
Poland,Y,Y,"Permit required, except European Economic Area (EEA)/Swiss citizens and entities, but EEA/Swiss citizens and entities need prior authorization for a purchase of land exceeding one hectare in the border areas or agricultural land; EEA/Swiss citizens do not need prior authorization for purchase of land for farming if they have leased and farmed the land for a certain number of years. Land for residence limited to 0.5 hectares.",
Portugal,N,Y,None.,
Russia,N (2012),Y,"Prohibition on ownership of agricultural land and land located in areas significant to national security. Since February 2022, special conditions are imposed on citizens and companies of “unfriendly nations.”",
Saudi Arabia,Y (2006),Y,"Prohibition on ownership of land within the borders of the cities of Mecca and Al-Madinah Al-Munawwarah; real estate for investment purposes must be 30 million Saudi Riyals (approx. US$7.9 million) or more, except for citizens of Gulf Cooperation Council.",
South Africa,N,Y,Foreigners in the country illegally cannot acquire land.,
South Korea,Y,Y，reciprocity,"Prior approval required for land in military bases and installation protection zones, designated cultural heritage protection zones, ecological and scenery conservation areas, or special districts for protection of wildlife.",Acquisition of land other than by sales contract must be reported to local government; nonresidents must report under the Foreign Exchange Transactions Act.
Spain,N,Y,Prohibition on ownership of land in zones of interest to national defense and military; prior military authorization required for other restricted areas (also applicable to Spanish companies controlled by foreigners).,
Sweden,N,Y,None.,
Switzerland,Y,Y，reciprocity,"Prior authorization required, with exceptions.",
Taiwan,Y,Y，reciprocity,"Prohibition on ownership of forest lands, fisheries, hunting grounds, salt fields, lands with mineral deposits, sources of water, lands lying within fortified and military areas, and lands adjacent to the national frontiers; authorities may restrict area and location of other lands that can be acquired by foreigners for certain uses.",
Thailand,Y,"N, with exceptions","Exception: Treaty (none existing); investor's residence, with strict conditions.",
Turkey,Y,Y,"Foreign natural persons of 183 designated countries may own up to 30 hectares, but the total acreage of the property owned by foreigners cannot surpass 10% of the total land acreage of private property in the district; foreign business associations with legal personality may only acquire property if special laws allow; president can ban foreign persons and entities; entities controlled by foreigners are limited to carrying out certain fields of activity; acquisition prohibited in designated military zones.",
United Arab Emirates,Y,Y,"Ownership prohibited in the emirate of Abu Dhabi, except for the investment zone, and in the Emirate of Dubai, except in designated locations; citizens of the Gulf Cooperation Council countries can own land in Dubai.",
United Kingdom,N,Y,None.,Overseas entities must declare their beneficial owners and/or managing officers on the Register of Overseas Entities.
