Association Name,Contact Email
Tsinghua UniversityCanadian Student Association,acobb30912@hotmail.com
Tsinghua UniversityEuropean Student Association,paulayuyun@gmail.com
Tsinghua UniversityIndonesianStudent Association,bennywijaya_w@outlook.com
Tsinghua University Japanese Student Association,kstr4423@icloud.com
Tsinghua UniversityKorean UndergraduateStudent Association,515101813@qq.com
Tsinghua UniversityKorean GraduateStudent Association,KORGrad_thu@qq.com
Tsinghua UniversityLatin AmericanStudent Association,thulaso@126.com
Tsinghua UniversityMalaysian Student Association,thumsa@outlook.com
Tsinghua UniversityMyanmar Student Association,bjj17@mails.tsinghua.edu.cn
Tsinghua UniversityOceanian Student Association,oceania.tsinghua@gmail.com
Tsinghua UniversityPakistan Student Association,engineer_fahad@rocketmail.com
Tsinghua UniversityRussian SpeakersStudent Association,thurssa@163.com
Tsinghua UniversityThailand Student Association,2985447552@qq.com
Tsinghua UniversityUS Student Association,dillon.zhou@foxmail.com
Tsinghua Universitynguyenductrongktqs@gmail.VietnameseStudent Association com,Tsinghua Universitynguyenductrongktqs@gmail.VietnameseStudent Association com
