Model,Avoiding Rep.,Engage,Fluency,Humanness,Inquisitive,Interesting,Listening,Make Sense
Human and baselines,Human,2.79 ± 0.12,3.04 ± 0.11,3.36 ± 0.12,3.35 ± 0.11,2.44 ± 0.12,2.92 ± 0.11,"3.32 ± 0.13,3.68 ± 0.11"
,Greedy Search,2.08 ± 0.10,2.24 ± 0.11,3.03 ± 0.10,1.75 ± 0.12,1.95 ± 0.10,2.29 ± 0.13,"2.62 ± 0.10,3.23 ± 0.10"
,Beam Search (beam size 20),2.08 ± 0.11,2.29 ± 0.11,3.09 ± 0.13,1.71 ± 0.13,2.42 ± 0.11,2.29 ± 0.14,"2.47 ± 0.12,3.35 ± 0.13"
Repetition control (WD),Extrep bigram WD -0.5,2.62 ± 0.10,2.54 ± 0.12,3.35 ± 0.12,2.13 ± 0.11,2.63 ± 0.11,2.56 ± 0.11,"2.93 ± 0.11,3.48 ± 0.11"
,Extrep bigram WD -1.25,2.78 ± 0.09,2.82 ± 0.13,3.40 ± 0.12,2.27 ± 0.12,2.54 ± 0.09,2.76 ± 0.10,"3.05 ± 0.11,3.53 ± 0.14"
,Extrep bigram WD -3.5,2.83 ± 0.11,2.93 ± 0.10,3.56 ± 0.10,2.43 ± 0.11,2.47 ± 0.11,2.83 ± 0.10,"3.14 ± 0.10,3.62 ± 0.12"
,Extrep bigram WD -inf,2.74 ± 0.11,2.87 ± 0.14,3.49 ± 0.12,2.32 ± 0.13,2.56 ± 0.11,2.75 ± 0.12,"3.13 ± 0.12,3.59 ± 0.12"
,Repetition-controlled baseline,2.86 ± 0.12,2.82 ± 0.12,3.53 ± 0.10,2.40 ± 0.11,2.62 ± 0.13,2.84 ± 0.12,"3.10 ± 0.11,3.58 ± 0.14"
Question control (CT),Question-controlled CT 0,2.87 ± 0.12,2.84 ± 0.13,3.51 ± 0.10,2.46 ± 0.11,2.36 ± 0.09,2.76 ± 0.09,"3.10 ± 0.10,3.49 ± 0.12"
,Question-controlled CT 1,2.82 ± 0.11,2.88 ± 0.11,3.42 ± 0.10,2.46 ± 0.12,2.47 ± 0.11,2.79 ± 0.13,"3.14 ± 0.11,3.55 ± 0.10"
,Question-controlled CT 4,2.78 ± 0.12,2.88 ± 0.10,3.47 ± 0.11,2.40 ± 0.09,2.53 ± 0.13,2.83 ± 0.13,"3.24 ± 0.11,3.59 ± 0.10"
,Question-controlled CT 7,2.81 ± 0.10,2.99 ± 0.11,3.54 ± 0.09,2.35 ± 0.11,2.66 ± 0.12,2.92 ± 0.12,"3.11 ± 0.10,3.47 ± 0.10"
,Question-controlled CT 10,2.67 ± 0.13,2.87 ± 0.11,3.52 ± 0.12,2.35 ± 0.12,2.63 ± 0.12,2.66 ± 0.10,"2.94 ± 0.11,3.53 ± 0.12"
,Question-controlled CT 10 (boost),2.68 ± 0.12,2.74 ± 0.09,3.42 ± 0.12,2.19 ± 0.13,2.79 ± 0.11,2.74 ± 0.11,"3.00 ± 0.12,3.45 ± 0.13"
Specificity control (CT),Specificity-controlled CT 0,2.79 ± 0.10,2.93 ± 0.09,3.44 ± 0.12,2.38 ± 0.11,2.56 ± 0.12,2.84 ± 0.12,"3.12 ± 0.13,3.61 ± 0.11"
,Specificity-controlled CT 2,2.78 ± 0.12,2.74 ± 0.11,3.39 ± 0.13,2.31 ± 0.13,2.56 ± 0.13,2.74 ± 0.12,"2.99 ± 0.11,3.47 ± 0.10"
