Model,Avoiding Rep.,Engage,Fluency,Humanness,Inquisitive,Interesting,Listening,Make Sense,Persona
Human and baselines,Human,2.90 ± 0.39,3.31 ± 0.90,3.66 ± 0.71,3.40 ± 0.80,2.63 ± 0.63,3.23 ± 0.83,3.64 ± 0.63,"3.84 ± 0.52,0.92 ± 0.27"
Human and baselines,Greedy Search,2.16 ± 0.72,2.31 ± 1.08,3.20 ± 0.81,1.78 ± 0.90,2.00 ± 0.81,2.36 ± 0.98,2.78 ± 0.84,"3.33 ± 0.75,0.87 ± 0.34"
Human and baselines,Beam Search (beam size 20),2.14 ± 0.72,2.35 ± 1.01,3.23 ± 0.93,1.81 ± 0.87,2.50 ± 0.72,2.35 ± 0.98,2.63 ± 0.85,"3.40 ± 0.77,0.77 ± 0.42"
Repetition control (WD),Extrep bigram WD -0.5,2.66 ± 0.56,2.56 ± 0.92,3.57 ± 0.64,2.19 ± 0.94,2.67 ± 0.62,2.61 ± 0.87,3.08 ± 0.78,"3.60 ± 0.57,0.75 ± 0.43"
Repetition control (WD),Extrep bigram WD -1.25,2.84 ± 0.39,2.91 ± 0.90,3.59 ± 0.64,2.32 ± 0.98,2.63 ± 0.60,2.86 ± 0.89,3.21 ± 0.71,"3.64 ± 0.62,0.72 ± 0.45"
Repetition control (WD),Extrep bigram WD -3.5,2.90 ± 0.30,2.95 ± 0.86,3.73 ± 0.50,2.45 ± 1.03,2.55 ± 0.61,2.88 ± 0.80,3.27 ± 0.79,"3.68 ± 0.49,0.80 ± 0.40"
Repetition control (WD),Extrep bigram WD -inf,2.82 ± 0.43,2.96 ± 0.86,3.64 ± 0.58,2.40 ± 0.96,2.65 ± 0.69,2.86 ± 0.82,3.31 ± 0.69,"3.66 ± 0.59,0.91 ± 0.29"
Repetition control (WD),Repetition-controlled baseline,2.89 ± 0.39,2.89 ± 0.89,3.66 ± 0.56,2.50 ± 0.99,2.70 ± 0.64,2.96 ± 0.92,3.25 ± 0.71,"3.68 ± 0.54,0.87 ± 0.34"
Question control (CT),Question-controlled CT 0,2.95 ± 0.25,2.92 ± 0.90,3.70 ± 0.54,2.49 ± 0.97,2.48 ± 0.72,2.85 ± 0.93,3.29 ± 0.69,"3.56 ± 0.66,0.86 ± 0.35"
Question control (CT),Question-controlled CT 1,2.88 ± 0.33,2.94 ± 0.93,3.59 ± 0.66,2.47 ± 0.95,2.52 ± 0.69,2.85 ± 0.90,3.32 ± 0.73,"3.63 ± 0.55,0.85 ± 0.36"
Question control (CT),Question-controlled CT 4,2.88 ± 0.38,2.88 ± 0.94,3.59 ± 0.73,2.42 ± 1.07,2.55 ± 0.66,2.82 ± 0.85,3.37 ± 0.74,"3.63 ± 0.59,0.84 ± 0.37"
Question control (CT),Question-controlled CT 7,2.88 ± 0.37,3.07 ± 0.90,3.67 ± 0.54,2.42 ± 0.98,2.75 ± 0.58,2.97 ± 0.84,3.23 ± 0.76,"3.53 ± 0.76,0.80 ± 0.40"
Question control (CT),Question-controlled CT 10,2.74 ± 0.46,2.90 ± 0.93,3.70 ± 0.50,2.43 ± 1.04,2.71 ± 0.57,2.72 ± 0.88,3.12 ± 0.73,"3.59 ± 0.66,0.79 ± 0.41"
Question control (CT),Question-controlled CT 10 (boost),2.76 ± 0.49,2.84 ± 0.94,3.60 ± 0.64,2.26 ± 0.97,2.94 ± 0.57,2.83 ± 0.94,3.18 ± 0.80,"3.52 ± 0.67,0.72 ± 0.45"
Specificity control (CT),Specificity-controlled CT 0,2.83 ± 0.40,2.96 ± 0.93,3.62 ± 0.58,2.42 ± 0.99,2.60 ± 0.56,2.86 ± 0.89,3.29 ± 0.70,"3.66 ± 0.60,0.72 ± 0.45"
Specificity control (CT),Specificity-controlled CT 2,2.90 ± 0.36,2.78 ± 1.00,3.60 ± 0.64,2.37 ± 0.93,2.66 ± 0.66,2.80 ± 0.96,3.14 ± 0.77,"3.50 ± 0.63,0.81 ± 0.39"
Specificity control (CT),Specificity-controlled CT 4,2.92 ± 0.27,2.81 ± 0.88,3.65 ± 0.59,2.34 ± 1.02,2.57 ± 0.62,2.80 ± 0.78,3.25 ± 0.78,"3.50 ± 0.66,0.86 ± 0.35"
Specificity control (CT),Specificity-controlled CT 7,2.89 ± 0.32,3.00 ± 0.94,3.64 ± 0.67,2.53 ± 1.03,2.56 ± 0.66,2.90 ± 0.90,3.34 ± 0.70,"3.59 ± 0.60,0.82 ± 0.39"
Specificity control (CT),Specificity-controlled CT 9,2.90 ± 0.35,2.83 ± 0.87,3.61 ± 0.62,2.40 ± 0.97,2.31 ± 0.74,2.84 ± 0.83,3.07 ± 0.81,"3.58 ± 0.56,0.88 ± 0.32"
Specificity control (WD),Specificity-controlled WD -10,2.85 ± 0.43,2.43 ± 0.99,3.34 ± 0.83,2.15 ± 0.91,2.31 ± 0.69,2.38 ± 0.94,3.03 ± 0.75,"3.33 ± 0.70,0.71 ± 0.45"
Specificity control (WD),Specificity-controlled WD -4,2.90 ± 0.30,2.78 ± 0.95,3.55 ± 0.63,2.41 ± 0.92,2.52 ± 0.66,2.64 ± 0.93,3.28 ± 0.73,"3.56 ± 0.62,0.82 ± 0.38"
Specificity control (WD),Specificity-controlled WD 4,2.95 ± 0.21,2.99 ± 0.86,3.65 ± 0.55,2.49 ± 0.90,2.65 ± 0.55,3.00 ± 0.78,3.37 ± 0.59,"3.63 ± 0.50,0.93 ± 0.25"
Specificity control (WD),Specificity-controlled WD 6,2.93 ± 0.26,2.96 ± 0.90,3.52 ± 0.76,2.41 ± 1.04,2.58 ± 0.66,3.06 ± 0.80,3.24 ± 0.76,"3.50 ± 0.66,0.93 ± 0.26"
Specificity control (WD),Specificity-controlled WD 8,2.78 ± 0.52,2.40 ± 1.23,2.67 ± 1.25,1.86 ± 0.97,2.03 ± 0.87,2.55 ± 1.14,2.61 ± 1.05,"2.91 ± 0.91,0.92 ± 0.28"
Response-related control (WD),Response-related controlled WD -10,2.86 ± 0.44,2.48 ± 0.98,3.42 ± 0.74,2.02 ± 0.93,2.38 ± 0.75,2.53 ± 0.94,2.84 ± 0.80,"3.14 ± 0.75,0.91 ± 0.29"
