Country,Majority ofVotes Cast,Majority of All Members,Supermajority Requirements,Citation
Italy,Yes,"Yes, for certain laws related to autonomous provinces and for constitutionalamendments.","Two-thirds majority required forlaws on amnesty and pardon, andfor overcoming the submission to popular referenda of lawsamending the Constitution.","Constitution of the ItalianRepublic arts. 64, 79,116, 138,https://perma.cc/TYV3-2YFG (in Italian),https:/ /perma.cc/3Y5G-RC9P (unofficial Englishtranslation)."
Jamaica,Yes,No,"Two-thirds or three-fifths majority of all members of either house, asrelevant, for constitutional amendments.","Constitution of Jamaica Ss 49, 53-54, https:/ /perma.cc/CK6N-5SBK."
Japan,Yes,No,Two-thirds or more of members ofHouse of Representatives (HR) present when House of Councillorsmade decision different from thatof HR.,"Constitution of Japan arts. 59, 96, https:/ /perma.cc/3Y8U-CL9S."
Latvia,Yes,No,Two-thirds majority required for constitutional amendments and to ratify treaties transferring a part of state competencies to international organizations.,"Constitution of the Republic of Latvia arts. 24, 68, 76, https:/ / perma.cc/EU7V-6XVL."
Lesotho,Yes,"Yes, for constitutionalamendments.","Two-thirds majority of all membersof National Assembly required forbills relating to the national seal, national anthem, and national flag.","Constitution of Lesotho Ss 3,75,85,https:/ /perma.cc/GL3T-W7Q5."
Lithuania,Yes,Yes for votes to adopt constitutional laws.,Three-fifths majority required to amend constitutional laws.,"Constitution of the Republic of Lithuania art. 69, https:/ / perma.cc/69KP-SKF8."
Luxembourg,Yes,No,Two-thirds majority of membersrequired for constitutionalamendments.,"Constitution of the Grand Duchy of Luxembourg arts.62,114, https:/ / perma.cc/W8PQ-AJSS."
Malaysia,Yes,No,Two-thirds majority of all members required for constitutional amendments; two-thirds majority of members voting required for laws that change the status ofMalay reservations.,"Federal Constitution ofMalaysia arts. 62(3), 89(1) &(8), 159(3), https:/ / perma.cc/YQ2G-QZFJ."
Malta,Yes,Yes for bills that alter specified provisions of the Constitution.,Two-thirds majority of all members required for certain constitutionalamendments.,"Constitution of Malta arts. 66, 71, https:/ /perma.cc/G38P-CHS6."
Mauritius,Yes,No,"Three-quarters majority of Mauritius Constitution SS 5, members of National Assembly 8,47, 53,(NA) required for bills on terrorism https:/ /perma.cc/JV5D- or drug-related crimes; bills to N3C5.""amend or to repeal the provisionsof any law with regard to the keeping of a custody record and video recording in respect of the detention of any person for a drugoffence""; bills to amend or repeal an act relating to eminent domainthat had been adopted with support of three-quarters of NA members; and bills that amendcertain parts of Constitution. Two- thirds majority of NA members required for amendment of some constitutional provisions.","Three-quarters majority of Mauritius Constitution SS 5, members of National Assembly 8,47, 53,(NA) required for bills on terrorism https:/ /perma.cc/JV5D- or drug-related crimes; bills to N3C5.""amend or to repeal the provisionsof any law with regard to the keeping of a custody record and video recording in respect of the detention of any person for a drugoffence""; bills to amend or repeal an act relating to eminent domainthat had been adopted with support of three-quarters of NA members; and bills that amendcertain parts of Constitution. Two- thirds majority of NA members required for amendment of some constitutional provisions."
