Country,Majority ofVotes Cast,Majority of All Members,Supermajority Requirements,Citation
,,international treaties relatedto constitutional provisions.,"zones of the country, and certainbudgetary measures.","and 206,https:/ / perma.cc/7NHU-PCSK."
Philippines,Yes,Yes for laws granting taxexemptions.,Two-thirds majority required to declare war and to override a presidential veto.,"Constitution of the Republic of the Philippines arts. VI, Ss23-1, 27, 28-4, https:// perma.cc/JRS6-RTB9."
Poland,Yes,No,Three-fifths majority required tooverride a presidential veto; two-thirds majority required to ratify treaties transferring a part of state competencies to international organizations.,"Constitution of the Republicof Poland arts. 90,120, 122,https:/ /perma.cc/8B39-9AFP."
Portugal,Yes,Yes for organic laws and for overriding a presidentialveto of an ordinary bill.,Two-thirds majority of deputies present required to override a presidential veto of an organic law and or of a law on specified topics; two-thirds majority of deputies present required for passage of laws on specified topics; two-thirds majority of all deputies required for constitutional amendments.,"Constitution of thePortuguese Republic arts.136, 168(5), 168(6), 255, 286(1), https:/ / perma.cc/ 5P3S-RUCE;Procedural Rules of the Assembly of the Republic art.92(1),https:/ / perma.cc/6HCP-KC4K."
Romania,Yes,Yes for approval of organiclaws.,Two-thirds majority required toratify treaties transferring a part of state competencies to international organizations.,"Constitution of Romania arts.67,76,148, https:/ / perma.cc/PK4W-BUHS."
Serbia,Yes,"Yes for laws on constitutional issues, rights of national minorities, and public debt.",None,"Constitution of Serbia art. 105, https:/ /perma.cc/MZ67-R6JT."
Singapore,Yes,No,Two-thirds of total number of members of Parliament required to pass constitutional amendments.,"Constitution of Republic ofSingapore arts. 5(2), 57(1),https:/ / perma.cc/L4K4-E2KH."
Slovakia,Yes,Yes to override a presidential veto and to ratify international treaties.,Three-fifths majority required for amending Constitution or adopting a constitutional law.,"Constitution of the Slovak Republic art. 84, https:/ / perma.cc/6A6S-23DW."
Slovenia,Yes,No,"Two-thirds majority required forconstitutional amendments; ratification of treaties transferring apart of state competencies to international organizations; andadoption of laws on elections, organization of defense, integrity of the national territory, andbudget.","Constitution of the Republicof Slovenia arts. 3(A), 86, 98,124, 148, 169,https:/ /perma.cc/CWB6-UT8G."
South Africa,Yes (in National Assembly(NA)),No,Two-thirds majority of all members of NA required for constitutional amendments and for overriding National Council of Provinces' objection to parts of an ordiary bill that affects counties initiated inNA.,"Constitution of the Republicof South Africa SS 53, 74, 76, https:/ / perma.cc/9E6C-DUNR."
Spain,Yes,"Yes, for adoption of internal regulations of each chamberof Parliament, treaties,and amendment or repeal of organic laws.",Two-thirds majority required forlimited constitutional reform.,"Spanish Constitution arts.66.1, 79, 72, 74, 94.1, 81, 99,102, 113, 167, 168,https://perma.cc/F8NZ-3FYG."
Sri Lanka,Yes,No,"Under Sri Lanka's Constitution, constitutional amendment bills become law “if the number of votescast in favour thereof amounts to not less than two-thirds of thewhole number of Members (including those not present)."" If Supreme Court finds bill or any provision within it inconsistentwith Constitution, article 84 allows"" special majority"" procedure oftwo-thirds vote of whole number of members to pass bills that are inconsistent with Constitution.","Constitution of Democratic Socialist Republic of SriLanka arts. 72(1), 82(5), 84(2),121, 123, https:/ / perma.cc/3AA5-H2B3."
