Name,Position,Executive Officer Since,Age
"W. Craig Jelinek","Chief Executive Officer",1995,70
"Ron M. Vachris","President and Chief Operating Officer",2016,57
"Richard A. Galanti","Executive Vice President and Chief Financial Officer",1993,66
"Jim C. Klauer","Executive Vice President, Chief Operating Officer, Northern Division",2018,60
"Patrick J. Callans","Executive Vice President, Administration",2019,60
"Russ D. Miller","Senior Executive Vice President, U.S. Operations",2018,65
"James P. Murphy","Executive Vice President, Chief Operating Officer, International Division",2011,69
"Timothy L. Rose","Executive Vice President, Ancillary Businesses, Manufacturing, and Business Centers",2013,70
"Yoram B. Rubanenko","Executive Vice President, Chief Operating Officer, Eastern Division",2021,58
"John Sullivan","Executive Vice President, General Counsel & Corporate Secretary",2021,62
"Claudine E. Adamo","Executive Vice President, Merchandising",2022,52
"Caton Frates","Executive Vice President, Chief Operating Officer, Southwest Division",2022,54
"Pierre Riel","Executive Vice President, Chief Operating Officer, International Division",2022,59
"W. Craig Jelinek","President and Chief Operating Officer",2010,70
"W. Craig Jelinek","Executive Vice President, Chief Operating Officer, Merchandising",2004,70
"Ron M. Vachris","Executive Vice President of Merchandising",2016,57
"Ron M. Vachris","Senior Vice President, Real Estate Development",2015,57
"Ron M. Vachris","Senior Vice President, General Manager, Northwest Region",2010,57
"Richard A. Galanti","Director",1995,66
"Jim C. Klauer","Senior Vice President, Non-Foods and E-commerce Merchandise",2013,60
"Patrick J. Callans","Senior Vice President, Human Resources and Risk Management",2013,60
"Russ D. Miller","Executive Vice President, Chief Operating Officer, Southern Division and Mexico",2018,65
"Russ D. Miller","Senior Vice President, Western Canada Region",2001,65
"James P. Murphy","Senior Vice President, International",2004,69
"James P. Murphy","Senior Vice President, International",2004,69
"Timothy L. Rose","Senior Vice President, Merchandising, Foods and Sundries and Private Label",1995,70
"Yoram B. Rubanenko","Senior Vice President and General Manager, Southeast Region",2013,58
"Yoram B. Rubanenko","Vice President, Regional Operations Manager",1998,58
"John Sullivan","General Counsel",2016,62
"John Sullivan","Corporate Secretary",2010,62
"Claudine E. Adamo","Senior Vice President, Non Foods",2018,52
"Claudine E. Adamo","Vice President, Non Foods",2013,52
"Caton Frates","Senior Vice President, Los Angeles Division",2015,54
"Pierre Riel","Senior Vice President, Country Manager, Canada",2019,59
"Pierre Riel","Senior Vice President, Eastern Canada Region",2001,59
