```csv
Year_Opened,"#_of_Whses",2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
2022,23,"$150",150,150,150,150,150,150,150,150,150
2021,20,"$140",140,140,140,140,140,140,140,140,140
2020,13,"$132",132,132,132,132,132,132,132,132,132
2019,20,"$129",129,129,129,129,129,129,129,129,129
2018,21,"$116",116,116,116,116,116,116,116,116,116
2017,26,"$121",121,121,121,121,121,121,121,121,121
2016,29,"$87",87,87,87,87,87,87,87,87,87
2015,23,"$83",83,83,83,83,83,83,83,83,83
2014,30,"$108",108,108,108,108,108,108,108,108,108
2013 & Before,633,"$160",160,160,160,160,160,160,160,160,160
Totals,838,"$160",160,160,160,160,160,160,160,160,160
```
