Name,"Position","Executive Officer Since","Age"
"W. Craig Jelinek","Chief Executive Officer. Mr. Jelinek has been a director since February 2010. Mr. Jelinek previously was President and CEO from January 2012 to February 2022. He was President and Chief Operating Officer from February 2010 to December 2011. Prior to that he was Executive Vice President, Chief Operating Officer, Merchandising since 2004.","1995",70
"Ron M. Vachris","President and Chief Operating Officer. Mr. Vachris has been a director since February 2022. Mr. Vachris previously served as Executive Vice President of Merchandising from June 2016 to January 2022, as Senior Vice President, Real Estate Development, from August 2015 to June 2016, and Senior Vice President, General Manager, Northwest Region, from 2010 to July 2015.","2016",57
"Richard A. Galanti","Executive Vice President and Chief Financial Officer.","1993",66
"Jim C. Klauer","Executive Vice President, Chief Operating Officer, Northern Division. Mr. Klauer was Senior Vice President, Non-Foods and E-commerce Merchandise, from 2013 to January 2018.","2018",60
"Patrick J. Callans","Executive Vice President, Administration. Mr. Callans was Senior Vice President, Human Resources and Risk Management, from 2013 to December 2018.","2019",60
"Russ D. Miller","Senior Executive Vice President, U.S. Operations. Mr. Miller was Executive Vice President, Chief Operating Officer, Southern Division and Mexico, from January 2018 to May 2022. Mr. Miller was Senior Vice President, Western Canada Region, from 2001 to January 2018.","2018",65
"James P. Murphy","Executive Vice President, Chief Operating Officer, International Division. Mr. Murphy was Senior Vice President, International, from 2004 to October 2010. Mr. Murphy is retiring from the Company at the end of calendar year 2022.","2011",69
"Timothy L. Rose","Executive Vice President, Ancillary Businesses, Manufacturing, and Business Centers. Mr. Rose was Senior Vice President, Merchandising, Foods and Sundries and Private Label, from 1995 to December 2012. Mr. Rose is retiring from the Company effective November, 2022.","2013",70
"Yoram B. Rubanenko","Executive Vice President, Chief Operating Officer, Eastern Division. Mr. Rubanenko was Senior Vice President and General Manager, Southeast Region, from 2013 to September 2021, and Vice President, Regional Operations Manager for the Northeast Region, from 1998 to 2013.","2021",58
"John Sullivan","Executive Vice President, General Counsel & Corporate Secretary. Mr. Sullivan has been General Counsel since 2016 and Corporate Secretary since 2010.","2021",62
"Claudine E. Adamo","Executive Vice President, Merchandising. Ms. Adamo was Senior Vice President, Non Foods, from 2018 to February 2022, and Vice President, Non Foods, from 2013 to 2018.","2022",52
"Caton Frates","Executive Vice President, Chief Operating Officer, Southwest Division. Mr. Frates was Senior Vice President, Los Angeles Division, from 2015 to May 2022.","2022",54
"Pierre Riel","Executive Vice President, Chief Operating Officer, International Division. Mr. Riel was Senior Vice President, Country Manager, Canada, from 2019 to March 2022, and Senior Vice President, Eastern Canada Region, from 2001 to 2019.","2022",59
