Year Opened,"# of Whses","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"2022",23,"$ 160","$ 164","$ 162","$ 159","$ 163","$ 176","$ 182","$ 192","$ 217","$ 245"
"2021",20,"$ 160","$ 164","$ 162","$ 159","$ 163","$ 176","$ 182","$ 192","$ 217","$ 245"
"2020",13,"$ 160","$ 164","$ 162","$ 159","$ 163","$ 176","$ 182","$ 192","$ 217","$ 245"
"2019",20,"$ 160","$ 164","$ 162","$ 159","$ 163","$ 176","$ 182","$ 192","$ 217","$ 245"
"2018",21,"$ 160","$ 164","$ 162","$ 159","$ 163","$ 176","$ 182","$ 192","$ 217","$ 245"
"2017",26,"$ 160","$ 164","$ 162","$ 159","$ 163","$ 176","$ 182","$ 192","$ 217","$ 245"
"2016",29,"$ 160","$ 164","$ 162","$ 159","$ 163","$ 176","$ 182","$ 192","$ 217","$ 245"
"2015",23,"$ 160","$ 164","$ 162","$ 159","$ 163","$ 176","$ 182","$ 192","$ 217","$ 245"
"2014",30,"$ 160","$ 164","$ 162","$ 159","$ 163","$ 176","$ 182","$ 192","$ 217","$ 245"
"2013 & Before",633,"$ 160","$ 164","$ 162","$ 159","$ 163","$ 176","$ 182","$ 192","$ 217","$ 245"
Totals,838,"$ 160","$ 164","$ 162","$ 159","$ 163","$ 176","$ 182","$ 192","$ 217","$ 245"
