,2015,2014,"AsofDecember31, 2013",2012,2011
,2015,2014,(in thousands),2012,2011
"Cash, cash equivalents and short-term investments",$,"2,310,715$ 1,608,496","$ 1,200,405","$ 748,078","$ 797,811"
"Total content assets, net (1)","7,218,815","4,939,460","3,838,364","2,934,099","2,022,650"
Working capital (1),"1,902,216","1,263,899","883,049","553,887","595,780"
Total assets (1),"10,202,871","7,042,500","5,404,025","3,961,781","3,062,111"
Long-term debt (1),"2,371,362","885,849","491,462","195,782","195,123"
Long-term debt due to related party (1),,,,"198,109","197,792"
Non-current content liabilities,"2,026,360","1,575,832","1,345,590","1,076,622","739,628"
Total content liabilities,"4,815,383","3,693,073","3,121,573","2,443,469","1,674,664"
Total stockholders’ equity,"2,223,426","1,857,708","1,333,561","744,673","642,810"
