,Amortized,Amortized,Gross Unrealized,Gross Unrealized,Gross Unrealized Estimated,Gross Unrealized Estimated,Cash and cash Short-term,Cash and cash Short-term,Non-current
,Cost,Gains,,Losses,FairValue (in thousands),equivalents,investments,assets (1),Non-current
Cash,$ 1,"1,007,543$",1,$,,"$ 1,007,543 $ 1,007,543$",,,$
Level 1 securities:,,,,,,,,,
Money market funds,,"111,759",,,"111,759",,"106,065",,"5,694"
Level 2 securities:,,,,,,,,,
Corporate debt securities,,"295,500",432,,(199),"295,733",,"295,733",
Government securities,,"168,749",120,,(95),"168,774",,"168,774",
Asset and mortgage-backed,,112,,,,,,,
securities Certificate of deposits,,3.600,,,,"112 3,600",,112,
Agency securities,,"26,665",5,,(1),"26,669",,"3,600 26,669",
Total,$,"1,613,928 $",,557$,"(295)$1,614,190$1,113,608$",,,"494,888$","5,694"
