Signature,Title,Date
/ S / R EED H ASTINGS,"President, Chief Executive Officer and Director (principal executive officer)","January 28,2016"
/ S / D AVID W ELLS,Chief Financial Officer (principal financial and accounting officer),"January 28,2016"
/ S / R ICHARD B ARTON,Director,"January 28,2016"
/ S / T IMOOTHY M. H ALEY,Director,"January 28,2016"
/ S / J AY C. H OAG,Director,"January 28,2016"
/ S / A NN M AATHER,Director,"January 28,2016"
/ S / A. G EORGE B ATTLE,Director,"January 28,2016"
/ S / L ESLIE J. K ILGORE,Director,"January 28,2016"
/S/ B RAD SMITH,Director,"January 28,2016"
/S/ A NNE SWEENEY,Director,"January 28,2016"
