,"Year Ended December 31,","Year Ended December 31,","Year Ended December 31,"
,2015,2014,2013
Dividend yield,1%,1%,1%
Expected volatility,36% - 53%,41% - 48%,51% - 54%
Risk-free interest rate,2.03% - 2.29%,2.39% - 2.83%,1.87% - 2.71%
Suboptimal exercise factor,2.47 - 2.48,2.66 - 5.44,2.33 - 3.92
Valuation data:,,,
Weighted-average fair value (per share),$ 39.22,$ 30.17,$ 16.25
Total stock-based compensation expense (in thousands),"124,725","115,239","73,100"
Total income tax impact on provision (in thousands),"47,125","43,999",28.096
