Foreign currency,Change in unrealized gains on available-for-sale securities,Total
"Balance as of December 31, 2013",$,"$,$"
"3,153",422,"3,575"
Other comprehensive (loss) income before reclassifications,"(7,768)","337,(7,431)"
Amounts reclassified from accumulated other comprehensive (loss)income,—,"(590),(590)"
Net decrease in other comprehensive (loss) income,"(7,768)","(253),(8,021)"
"Balance as of December 31, 2014",$,"$,$"
"(4,615)",169,"(4,446)"
Other comprehensive (loss) income before reclassifications,"(37,887)","(771),(38,658)"
Amounts reclassified from accumulated other comprehensive (loss)income,—,"(204),(204)"
Net decrease in other comprehensive (loss) income,"(37,887)","(975),(38,862)"
"Balance as of December 31, 2015",$,"$,$"
"(42,502)",(806),"(43,308)"
