"AS 01/Year ended December 31, 2013",Domestic Streaming,International Streaming,Domestic DVD,Consolidated
Total memberships at end of period (1),44738,30024,4904,---
Revenues,"$4,180,339","$1,953,435","$645,737","$6,779,511"
Cost of revenues,"2,487,193","1,780,375","323,908","4,591,476"
Marketing,"317,646","506,446",---,"824,092"
Contribution profit (loss),"$1,375,500","$(333,386)","$321,829","$1,363,943"
Other operating expenses,,1058117,---,
Operating income,305826,---,,
Other income (expense),---,"$(163,941)",---,
Provision for income taxes,19244,---,,
Net income,"$122,641",---,,
