"Balances as of December 31, 2012",Shares Available for Grant,Number of Shares,Weighted-Average Exercise Price (per Share),Weighted-Average Remaining Contractual Term (in Years),Aggregate Intrinsic Value (in Thousands)
"Balances as of December 31, 2012","28,343,259","32,010,664",$ 10.19,,",,"
Granted,"(4,499,040)","4,499,040",29.85,,",,"
Exercised,,"-11,821,418",$ 10.54,,",,"
"Balances as of December 31, 2013","23,844,219","24,688,286",$ 13.61,,",,"
Granted,"(3,819,011)","3,819,011",57.55,,",,"
Exercised,,"-5,661,880",$ 10.81,,",,"
"Balances as of December 31, 2014","20,025,208","22,845,417",$ 21.65,,",,"
Granted,"(3,179,892)","3,179,892",82.67,,",,"
Exercised,,"-5,029,553",$ 15.38,,",,"
"Balances as of December 31, 2015","16,845,316","20,995,756",$ 32.39,6.26,"1,723,505"
"Vested and exercisable at December 31, 2015",,"20,995,756",$ 32.39,6.26,"1,723,505"
