Signature /s/ R EED H ASTINGS,Title,Date
Reed Hastings,"President, Chief Executive Officer and Director (principal executive officer)","January 28,2016"
/ S／D AVID W ELLS,Chief Financial Officer (principal financial and accounting,"January 28, 2016"
David Wells,officer),
/ s／R ICHARD B ARTON,,"January 28,2016"
Richard Barton,Director,
/S/TIMOTHY M.HALEY,,
Timothy M. Haley,Director,"January 28,2016"
/S/JAY C.HOAG,,
Jay C.Hoag,Director,"January 28,2016"
/S/ANN MATHER,,
Ann Mather,Director,"January 28,2016"
/S／A.G EORGE BATTLE,,
A. George Battle,Director,"January 28,2016"
/s/ L ESLIE J.K ILGORE,,
Leslie J. Kilgore,Director,"January 28,2016"
/S/BRAD SMITH Brad Smith,Director,"January 28,2016"
/S/ ANNE SWEENEY,,
Anne Sweeney,Director,"January 28,2016"
