,"As of/YearEnded December 31,","As of/YearEnded December 31,","As of/YearEnded December 31,",Change,Change,Change,
,2015,2014,2013,2015 vs. 2014,,2014 vs. 2013,
Memberships:,"(in thousands, except revenue per membership and percentages)","(in thousands, except revenue per membership and percentages)","(in thousands, except revenue per membership and percentages)","(in thousands, except revenue per membership and percentages)","(in thousands, except revenue per membership and percentages)","(in thousands, except revenue per membership and percentages)",
Net additions,"5,624","5,694","6,274",(70),(1)%,(580),(9)%
Memberships at end of period,"44,738","39,114","33,420","5,624",14%,"5,694",17%
Paid memberships at end of period,"43,401","37,698","31,712","5,703",15 %,"5,986",19%
Average monthly revenue per paying membership,8.50,8.14$,7.97$,0.36,4%$,0.17,2%
,$ $,,,,,,
Contribution profit:,,,,,,,25%
Revenues Cost of revenues,"$4,180,339 $ 2,487,193","3,431,434","2,751,375","$ 748,905 285,432",13%,"22% $ 680,059 338.,385",18%
Marketing,"317,646","2,201,761 293,453","1,863,376 265,232","24,193",8%,"28,221",11 %
Contribution profit,,"936,220","622,767","439,280",47%,"313,453",50%
,"1,375,500",,,,,,
Contribution margin,33%,27%,23%,,,,
