Balance as of December 31, 2013\t$68,231
Decreases related to tax positions taken during prior periods\t(39,015),
Increases related to tax positions taken during the current period\t11,174,
Decreases related to settlements with taxing authorities\t(5,578),
Balance as of December 31, 2014\t$34,812
Increases related to tax positions taken during prior periods\t1,960,
Decreases related to tax positions taken during prior periods\t(12,334),
Increases related to tax positions taken during the current period\t7,077,
Decreases related to settlements with taxing authorities\t(14,398),
Balance as of December 31, 2015\t$17,117
