As of December 31,2015,2014,Estimated Useful Lives(in Years)
Information technology assets,"$194,054","$189,274",3 years
Furniture and fixtures,"30,914","25,758",3 years
Building,"40,681","40,681",30 years
Leasehold improvements,"107,793","57,339",Over life of lease
DVD operations equipment,"88,471","89,144",5 years
Capital work-in-progress,"8,845","12,495",","
Property and equipment, gross,"470,758","414,691,,"
Less: Accumulated depreciation,"(297,346)","(264,816)",","
Property and equipment, net,"$173,412","$149,875,"
