"As of/ Year Ended December 31,",2015,2014,2013,2015 vs. 2014,,2014 vs. 2013
Memberships:,"(in thousands,except revenue per membership and percentages)","(in thousands,except revenue per membership and percentages)","(in thousands,except revenue per membership and percentages)","(in thousands,except revenue per membership and percentages)",,"(in thousands,except revenue per membership and percentages)"
Net additions,"11,747","7,347","4,809","4,400",60%,"2,538"
Memberships at end of period,"30,024","18,277","10,930","11,747",64%,"7,347"
Paid memberships at end of period,"27,438","16,778","9,722","10,660",64%,"7,056"
Average monthly revenue per paying membership,"$,7.48","$,8.34","$,8.26","$,(0.86)",(10)%,
Contribution loss:,,,,,,
Revenues,"$,1,953,435","$,1,308,061","$,712,390","$,645,374",49%,"$,595,671"
Cost of revenues,"1,780,375","1,154,117","782,304","626,258",54%,"371,813"
Marketing,"506,446","313,733","204,418","192,713",61%,"109,315"
Contribution loss,"(333,386)","(159,789)","(274,332)","(173,597)",109%,"114,543"
Contribution margin,(17)%,(12)%,(39)%,,,
