As of/ Year Ended December 31,Change,2015,2014,2013,2015 vs. 2014,2014 vs. 2013
Memberships:,Net additions,5,624,5,694,"6,274,(70),(1)%,(580),(9)%"
Memberships at end of period,44,738,39,114,33,"420,5,624,14 %,5,694,17 %"
Paid memberships at end of period,43,401,37,698,31,"712,5,703,15 %,5,986,19 %"
Average monthly revenue per paying membership,$8.50,$8.14,$7.97,$0.36,4 %,"$0.17,2 %"
Contribution profit:,Revenues,$4,180,339,$3,"431,434,$2,751,375,$748,905,22 %,$680,059,25 %"
Cost of revenues,2,487,193,2,201,"761,1,863,376,285,432,13 %,338,385,18 %"
Marketing,317,646,293,453,265,"232,24,193,8 %,28,221,11 %"
Contribution profit,1,375,500,936,220,"622,767,439,280,47 %,313,453,50 %"
Contribution margin,33%,27%,23%,,,
