Exhibit Number,Exhibit Description,Form,File No.,Exhibit,Filing Date,Incorporated by Reference,Filed Herewith
3.1,Restated Certificate of Incorporation,10-Q,001-35727,3.1,July 17,2015,
3.2,Amended and Restated Bylaws,8-K,000-49802,3.1,March 20,2009,
3.3,Certificate of Amendment to the Amended and Restated Certificate of Incorporation,10-Q,000-49802,3.3,August 2,2004,
4.1,Form of Common Stock Certificate,S-1/A,333-83878,4.1,April 16,2002,
4.2,"Indenture, dated as of February 1, 2013, by and between the Company and Wells Fargo Bank, National Association, as Trustee.",8-K,001-35727,4.1,February 1,2013,
4.3,"Indenture, dated as of February 19, 2014, by and between the Company and Wells Fargo Bank, National Association, as Trustee.",8-K,001-35727,4.1,February 19,2014,
4.4,"Indenture, dated as of February 5, 2015, by and between the Company and Wells Fargo Bank, National Association, as Trustee.",8-K,001-35727,4.1,February 5,2015,
4.5,"Indenture, dated as of February 5, 2015, by and between the Company and Wells Fargo Bank, National Association, as Trustee.",8-K,001-35727,4.2,February 5,2015,
10.1†,Form of Indemnification Agreement entered into by the registrant with each of its executive officers and directors,S-1/A,333-83878,10.1,March 20,2002,
10.2†,Amended and Restated 2002 Stock Plan,Def 14A,000-49802,A,March 31,2006,
10.3†,2011 Stock Plan,Def 14A,000-49802,A,April 20,2011,
10.4†,Amended and Restated Executive Severance and Retention Incentive Plan,10-K,000-49802,10.7,February 1,2013,
10.5†,"Registration Rights Agreement, dated as of February 19, 2014, by and among the Company and Morgan Stanley & Co. LLC, as representative of the Initial Purchasers listed in Schedule 1 thereto",8-K,001-35727,10.1,February 19,2014,
10.6†,Performance Bonus Plan,Def 14A,001-35727,A,April 28,2014,
10.7,"Registration Rights Agreement, dated as of February 5, 2015, by and among the Company and Morgan Stanley & Co. LLC, as representative of the Initial Purchasers listed in Schedule 1 thereto",8-K,001-35727,10.1,February 5,2015,
10.8,"Registration Rights Agreement, dated as of February 5, 2015, by and among the Company and Morgan Stanley & Co. LLC, as representative of the Initial Purchasers listed in Schedule 1 thereto",8-K,001-35727,10.2,February 5,2015,
10.9,"Purchase Agreement between Morgan Stanley & Co. LLC, as representative of several initial purchasers, and Netflix, Inc. dated February 2, 2015",10-Q,001-35727,10.9,April 17,2015,
21.1,List of Significant Subsidiaries,,,,X,,
23.1,Consent of Ernst & Young LLP,,,,X,,
24,Power of Attorney (see signature page),,,,X,,
31.1,Certification of Chief Executive Officer Pursuant to Section 302 of the Sarbanes-Oxley Act of 2002,,,,X,,
31.2,Certification of Chief Financial Officer Pursuant to Section 302 of the Sarbanes-Oxley Act of 2002,,,,X,,
