,"YearEndedDecember31,","YearEndedDecember31,","YearEndedDecember31,"
,2015,2014,2013
Current tax provision:,,(in thousands),
,"52,557$","86,623$","58,558"
Federal State,,,
,"(1,576)","9,866","15,154"
Foreign,"26,918","16,144","7,003"
Total current,"77,899","112,633","80,715"
Deferred tax provision:,,,
Federal,"(37,669)","(10,994)","(18,930)"
State,"(17,635)","(17,794)","(2,751)"
Foreign,"(3,351)","(1,275)",(363)
Total deferred Provision for income taxes,"(58,655) $ 19,244$","(30,063) 82,570 $","(22,044) 58.671"
