"As of/ Year Ended December 31,",,2015,2014,2013,2015 vs. 2014,2014 vs. 2013
"(in thousands, except revenue per membership and percentages)",Memberships:,Memberships:,Memberships:,Memberships:,Memberships:,Memberships:
"Net losses,",(863),"""(1,163)""","(1,294)",(300),(26%),"(131),(10%)"
"Memberships at end of period,","4,904","5,767","6,930",(863),(15%),"(1,163),(17%)"
"Paid memberships at end of period,","4,787","5,668","6,765",(881),(16%),"(1,097),(16%)"
"Average monthly revenue per paying membership,",$ 10.30,$ 10.29,$ 10.25,"$ 0.01,— %","$ 0.04,— %",
Contribution profit:,Contribution profit:,Contribution profit:,Contribution profit:,Contribution profit:,Contribution profit:,Contribution profit:
"Revenues,","""$ 645,737""","""$ 765,161""","""$ 910,797""","(119,424)",(16%),"(145,636),(16%)"
"Cost of revenues,","323,908","396,882","471,523","(72,974)",(18%),"(74,641),(16%)"
"Marketing,",,,292,,,"(292),(100%)"
"Contribution profit,","321,829","368,279","438,982","(46,450)",(13%),"(70,703),(16%)"
"Contribution margin,",50%,48%,48%,,,
