Legal Name,Jurisdiction,Percent Owned
Netflix Entretenimento Brasil LTDA,Brazil,100%
Netflix International B.V.,The Netherlands,100%
Netflix K.K.,Japan,100%
Netflix Services France SAS,France,100%
Netflix Services Germany GmbH,Germany,100%
Netflix Services UK Limited,United Kingdom,100%
Netflix Streaming Services International B.V.,The Netherlands,100%
"""Netflix Streaming Services, Inc."", ""United States"", 100%",,
"{'cells': ['Netflix Streaming Services, Inc.', 'United States', '100%']}",,
"""Netflix Studios, LLC"", ""United States"", 100%",,
"{'cells': ['Netflix Studios, LLC', 'United States', '100%']}",,
"""NetflixCS, Inc."", ""United States"", 100%",,
