"Balances as of December 31, 2012",Shares Available for Grant,Number of Shares,Weighted- Average Exercise Price (per Share),Weighted- Average Remaining Contractual Term (in Years),Aggregate Intrinsic Value (in Thousands)
"Balances as of December 31, 2012",28343259,32010664,10.19,,","
Granted,4499040,4499040,29.85,,","
Exercised,,11821418,10.54,,","
"Balances as of December 31, 2013",23844219,24688286,13.61,,","
Granted,3819011,3819011,57.55,,","
Exercised,,5661880,10.81,,","
"Balances as of December 31, 2014",20025208,22845417,21.65,,","
Granted,3179892,3179892,82.67,,","
Exercised,,5029553,15.38,,","
"Balances as of December 31, 2015",16845316,20995756,32.39,6.26,1723505
"Vested and exercisable at December 31, 2015",20995756,32.39,6.26,1723505,
