Error Scenarios,Possible Causes,Solution
Poor signals,"During the measurement,the watch pressed yourchest,your body moved, oryou breathed deeply.","During the measurement, avoidpressing your chest with the watch,keep your body stable, and breatheevenly."
Not being still,"You moved your arms orfingers, or spoke during the arms or fingers.measurement.",Keep still. Do not speak or move your
Irregularheartbeat,Irregular heartbeats weredetected during themeasurement.,"Take a break of one to two minutesand perform the measurement again.If the issue persists multiple times,contact a doctor."
Airbag inflationerror,The airbag was installedincorrectly or damaged.,"Check the airbag and ensure that it isinstalled correctly. Check whether theairbag is damaged. If so, replace theairbag in a timely manner."
Worn incorrectly,You did not wear yourwatch correctly during themeasurement.,Wear your watch correctly based onthe instructions.
Low battery,Your watch's battery is toolow.,Charge your watch to ensure that thebattery level is sufficient.
No airbag,There is not an airbag in the Install a suitable airbag and strapwatch.,There is not an airbag in the Install a suitable airbag and strapbased on your wrist circumstance.
Unsuitableairbag,The airbag that is installeddoes not match the set wristcircumference: The airbag is install a suitable strap and airbagincorrectly installed or thewrist circumference isincorrectly set in the Bloodpressure app.,"Measure your wrist circumference aslinstructed in the Quick Start Guide,circumference: The airbag is install a suitable strap and airbagaccordingly, and go to Blood pressure> Settings > Wrist circumference toselect the correct wrist circumference."
Abnormaldeflation,The airbag deflated slowlyafter the measurement wascomplete.,Take off your watch immediately andclean the air inlet and outlet based onthe solution for handling slowdeflation.
Takes a longtime to inflate,The inflation took too longduring the measurement.,"Take off your watch immediately, waituntil the airbag is fully deflated, andstart a measurement again. If thefault occurs multiple times, contact aservice center for it to be repaired."
High pressure,The pressure was too highduring the measurement.,Do not press the airbag or strapduring the measurement.
