```csv
Human Evaluation de-cs de-fr fr-de
DARR,"35,793","4,862","1,369"
BEER,"0.337","0.293","0.265"
CHARACTER,"0.232","0.251","0.224"
chrF,"0.326","0.284","0.275"
chrF+,"0.326","0.284","0.278"
EED,"0.345","0.301","0.267"
ESIM,"0.331","0.290","0.289"
hLEPORA__BASELINE,"0.207","0.239",""
SENTBLEU,"0.203","0.235","0.179"
YiSi-0,"0.331","0.296","0.277"
YiSi-1,"0.376","0.349","0.310"
YiSi-1__SRL,"","","0.299"
QE as a Metric: IBM1-MORPHEME,"0.048","-0.013","-0.053"
IBM1-POS4GRAM,"","-0.074","-0.097"
YiSi-2,"0.199","0.186","0.066"
```
