Feature-engineered machine learning systems,Dict,SP,DU,EN,GE
Carreras et al. (20O2) binary AdaBoost classifiers,Yes,81.39,77.05,1,-
Malouf (2002) -Maximum Entropy (ME) + features,Yes,73.66,68.08,1,-
Li et al. (2005) SVM with class weights,Yes,1,-,88.3,
Passos et al. (2014) CRF,Yes,、,,90.90,1
Ando and Zhang (2O05a) Semi-supervised state of the art,No,=,,89.31,75.27
Agerri and Rigau (2016),Yes,84.16,85.04,91.36,76.42
Feature-inferring neural network word models,Feature-inferring neural network word models,Feature-inferring neural network word models,Feature-inferring neural network word models,Feature-inferring neural network word models,Feature-inferring neural network word models
Collobert et al.(2011) Vanilla NN +SLL/Conv-CRF,No,,,81.47,
Huang et al. (2015) Bi-LSTM+CRF,No,,,84.26,=
"Yan et al. (2016) Win-BiLSTM (English),FF(German) (Many fets)",Yes,一,,88.91,76.12
Collobert et al. (2011) Conv-CRF (SENNA+Gazetteer),Yes,,,89.59,-
Huang et al. (2015)Bi-LSTM+CRF+ (SENNA+Gazetteer),Yes,,,90.10,-
Feature-inferring neural network character models,Feature-inferring neural network character models,Feature-inferring neural network character models,Feature-inferring neural network character models,Feature-inferring neural network character models,Feature-inferring neural network character models
Gillick et al. (2015)-BTS,No,82.95,82.84,86.50,76.22
Kuru et al. (2016) CharNER,No,82.18,79.36,84.52,70.12
Feature-inferring neural network word +character models,Feature-inferring neural network word +character models,Feature-inferring neural network word +character models,Feature-inferring neural network word +character models,Feature-inferring neural network word +character models,Feature-inferring neural network word +character models
Yang et al. (2017),Yes,85.77,85.19,91.26,
Luo (2015),Yes,-,-,91.20,
Chiu and Nichols (2015),Yes,1,1,91.62,
Ma and Hovy (2016),No,1,-,91.21,=
Santos and Guimaraes (2015),No,82.21,,,
Lample et al. (2016),No,85.75,81.74,90.94,78.76
Bharadwaj et al. (2016),Yes,85.81,-,-,1
Dernoncourt et al. (2017),No,-,-,90.5,1
Feature-inferring neural network word + character + affix models,Feature-inferring neural network word + character + affix models,Feature-inferring neural network word + character + affix models,Feature-inferring neural network word + character + affix models,Feature-inferring neural network word + character + affix models,Feature-inferring neural network word + character + affix models
Re-implementation of Lample et al. (2016) (100 Epochs),No,85.34,85.27,90.24,78.44
Yadav et al. (2018)(100 Epochs),No,86.92,87.50,90.69,78.56
Yadav et al. (2018) (150 Epochs),No,87.26,87.54,90.86,79.01
