Dataset,Original Source
BoolQ,Clark et al. (2019)
CosmosQA,Huang et al. (2019)
DREAM,Sun et al. (2019)
ETHICS [Justice],Hendrycks et al. (2020a)
ETHICS [Deontology],Hendrycks et al. (2020a)
ETHICS [Virtue],Hendrycks et al. (2020a)
ETHICS [Utilitarianism],Hendrycks et al. (2020a)
FLAN ANLI R2,Nie et al. (2019); Wei et al. (2021)
GLUE CoLA,Warstadt et al. (2019); Wang et al. (2018)
GLUE SST-2,Socher et al. (2013); Wang et al. (2018)
HellaSwag,Zellers et al. (2019)
MCTACO,Zhou et al. (2019)
OpenBookQA,Mihaylov et al. (2018)
PAWS,Zhang et al. (2019)
QuAIL,Rogers et al. (2020)
PIQA,Bisk et al. (2020)
QuaRTz,Tafjord et al. (2019)
SciQ,Welbl et al. (2017)
Social IQa,Sap et al. (2019)
SuperGLUE MultiRC,Khashabi et al. (2018); Wang et al. (2019)
SuperGLUE WIC,Pilehvar & Camacho-Collados (2018); Wang et al. (2019)
Twitter Sentiment,Zhang et al. (2019)
