Codec,DSEE Extreme Tm,Speak-to-Chat,Noise canceling function/Ambient Sound Mode,Available operating time
LDACTM,AUTO,OFF,Noise canceling function: ON,Max. 16 hours
LDAC,AUTO,OFF,Ambient Sound Mode: ON,Max. 14 hours
LDAC,AUTO,OFF,OFF,Max. 20 hours
LDAC,OFF,OFF,Noise canceling function: ON,Max. 24 hours
LDAC,OFF,OFF,Ambient Sound Mode: ON,Max. 18 hours
LDAC,OFF,OFF,OFF,Max. 30 hours
AAC,AUTO,OFF,Noise canceling function: ON,Max. 18 hours
AAC,AUTO,OFF,Ambient Sound Mode: ON,Max. 16 hours
AAC,AUTO,OFF,OFF,Max. 22 hours
AAC,OFF,OFF,Noise canceling function: ON,Max. 30 hours
AAC,OFF,OFF,Ambient Sound Mode: ON,Max. 22 hours
AAC,OFF,OFF,OFF,Max. 38 hours
SBC,AUTO,OFF,Noise canceling function: ON,Max. 18 hours
SBC,AUTO,OFF,Ambient Sound Mode: ON,Max. 16 hours
SBC,AUTO,OFF,OFF,Max. 22 hours
SBC,OFF,OFF,Noise canceling function: ON,Max. 30 hours
SBC,OFF,OFF,Ambient Sound Mode: ON,Max. 22 hours
SBC,OFF,OFF,OFF,Max. 38 hours
