```csv
"Agency Component Name","Agency Component Description","FEA SRM Service Domain","FEA SRM Service Type","FEA SRM Component (a)","Service Component Reused Name (b)","Service Component Reused UPI (b)","Internal or External Reuse? (c)","BY Funding Percentage (d)"
"Management","of capabilities that manage and control a particular effort of an organization.","Management Services","Processes","Project Management","","","No Reuse","1"
"Organizational Management","Defines the set of capabilities that support multiple users working on related tasks.","Business Management Services","Organizational Management","Workgroup / Groupware","","","No Reuse","1"
"Assistance Request","Support the solicitation of support from a customer","Customer Services","Customer Initiated Assistance","Assistance Request","","","No Reuse","1"
"Information Mapping / Taxonomy","Defines the set of capabilities that support the creation and maintenance of relationships between data entities, naming standards and categorization. IPMS supports these capabilities using ERWIN.","Digital Asset Services","Knowledge Management","Information Mapping / Taxonomy","","","No Reuse","2"
"Information Sharing","Defines the set of capabilities that support the use of documents and data in a multi-user environment for use by an organization and its stakeholders. IPMS accomplishes these capabilities using the Knowledge Center/Business Objects for Domestic personnel.","Digital Asset Services","Knowledge Management","Information Sharing","","","No Reuse","2"
"Knowledge Capture","Defines the set of capabilities that facilitate collection of data and information. IPMS supports these capabilities using Business Objects/Knowledge Center.","Digital Asset Services","Knowledge Management","Knowledge Capture","","","No Reuse","2"
"Record Linking / Association","Defines the set of capabilities that support the correlation between logical data and information sets.","Digital Asset Services","Records Management","Record Linking / Association","","","No Reuse","4"
"Query","Defines the set of capabilities that support retrieval of records that satisfy specific query selection criteria.","Support Services","Search","Query","","","No Reuse","2"
"Identification and Authentication","Defines the set of capabilities that support obtaining information about those","Support Services","Security Management","Identification and Authentication","","","No Reuse","8"
```
