```csv
Fiscal Year,"Strategic Goal(s) Supported","Measurement Area","Measurement Category","Measurement Grouping","Measurement Indicator","Baseline","Target","Actual Results"
2005,"Strengthening Consular and Management Capabilities","Customer Results","Service Accessibility","Availability","Number of Employee Self-Service Functions available under IPMS.","5 Employee Self-Service Functions","Increase to 7","Increased to 8"
2005,"Strengthening Consular and Management Capabilities","Customer Results","Timeliness and Responsiveness","Response Time","HR Help Desk response time.","55 minutes","Decrease to 50 minutes","50 minutes"
2005,"Strengthening Consular and Management Capabilities","Mission and Business Results","Human Resource Management","Organization and Position Management","Agency ranking score on DoS Central Personnel Data File (CPDF) submissions (score provided by OPM).","96 - CPDF agency ranking score","Maintain at 96 (OPM passing score)","IPMS achieved an unofficial score of 96."
2005,"Strengthening Consular and Management Capabilities","Processes and Activities","Cycle Time and Resource Time","Cycle Time","Timeliness of DoS CPDF Dynamics records (percentage provided by OPM).","89% transaction timeliness","Increase to 90% (OPM expected score)","IPMS achieved an unofficial score of 90%."
2005,"Strengthening Consular and Management Capabilities","Processes and Activities","Quality","Errors","DoS percentage of CPDF dynamics records without errors (actual percentage provided by OPM).","94% dynamics records without errors","Increase to 95% (OPM expected score)","IPMS achieved an unofficial score of 94%."
2005,"Strengthening Consular and Management Capabilities","Technology","Reliability and Availability","Availability","Number of HRM services under the IPMS program.","64 HRM services","Increase by 1 service","Increased to 67 services"
2006,"Strengthening Consular and Management Capabilities","Customer Results","Service Accessibility","Availability","Number of Employee Self-service functions available under IPMS.","8 Employee Self-service functions","Maintain 8","Maintained Employee Self-service functions of 8"
2006,"Strengthening Consular and Management Capabilities","Customer Results","Timeliness and Responsiveness","Response Time","HR Help Desk response time.","50 minutes","Decrease to 45 minutes","45 minutes"
2006,"Strengthening Consular and Management Capabilities","Mission and Business Results","Human Resource Management","HR Strategy","Agency ranking score on DoS CPDF submissions (score provided by OPM).","96 - CPDF agency ranking score","Maintain at 96 (OPM passing score)","OPM no longer provides actual results data."
2006,"Strengthening Consular and Management Capabilities","Processes and Activities","Cycle Time and Resource Time","Cycle Time","Timeliness of DoS CPDF dynamics records (actual percentage provided by OPM)","90% transaction timeliness","Maintain at 90% (OPM expected score)","OPM no longer provides actual results data."
2006,"Strengthening Consular and Management Capabilities","Processes and Activities","Quality","Errors","DoS percentage of CPDF dynamics records without errors (actual percentage provided by OPM).","96% dynamics records without errors","Maintain at 96%","OPM no longer provides actual results data."
2006,"Strengthening Consular and Management Capabilities","Technology","Reliability and Availability","Availability","Number of HRM services under the IPMS program.","67 HRM services","Increase to 68","68 HRM services are currently offered."
2007,"Strengthening Consular and Management Capabilities","Customer Results","Customer Benefit","Customer Satisfaction","% IPMS user satisfaction of program applications.","82% IPMS user satisfaction","Increase to 85%","Increased to 90%"
```
