Tokens x<sub>t</sub>,,,,,,,,,,,,,,,
Mention type t<sub>t</sub>,new,,,related,,,,new,,,related,,,,
Entity Mentioned e<sub>t</sub>,SML,,,,@,04-21-1989 SIDE_SCROLL,,,PVG,,,,,,D
Relation r<sub>t</sub>,,,,,,,,,,,pub date,,,,genre
Parent Entity p<sub>t</sub>,,,,,,,,,,,,,,,SML
x<sub>t</sub> and published by Nintendo as a launch title for their Game Boy handheld game console .,,,,,,,,,,,,,,,
t<sub>t</sub>,,,,,,,,,,,related,,,,new
e<sub>t</sub>,,,,,,,,,,,,,,,NIN
r<sub>t</sub>,,,,,,,,,,,,,,,
p<sub>t</sub>,,,,,,,,,,,,,,,SML
,,,,,,,,,,,,,,,
